Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-3.051408	2.552346	-0.3	-7.0	0.38732395	0.48713872	1.0	0.0	34.774647	55.0	0.011	-0.10904158	0.3826844	0.6306709	-0.79515016	0.0	0.0	0.0	0.0	2.2888185e-09	-0.0071074995	0.0	0.0	0.25895485	-0.16664898	100.0	0.0	3.0	1.0535586	0.012510999	5000	465.92917561531067
1	-3.4930232	2.718532	-0.5	-7.0	0.34108528	0.47407395	1.0	0.0	38.5969	99.0	0.0099	-0.06884596	0.22557145	0.23169869	-0.9177647	0.0	0.0	0.0	0.0	4.3392183e-09	-0.010187244	0.0	0.0	0.057639826	-0.010468196	100.0	0.0	9.0	1.0367724	0.014079751	10000	944.7500703334808
2	-4.9840426	2.5390275	-0.4	-7.0	0.19148937	0.3934732	1.0	0.0	52.531914	117.0	0.0078	-0.033853114	0.14570963	0.13055679	-1.096154	0.0	0.0	0.0	0.0	-1.0681152e-08	-0.008952204	0.0	0.0	0.042305846	-0.0077731386	100.0	0.0	79.0	0.9987516	0.008240385	15000	1434.102085351944
3	-4.654546	2.4717913	-0.5	-7.0	0.22222222	0.41573972	1.0	0.0	50.434345	139.0	0.00695	-0.057179704	0.101169005	0.087828614	-0.80694705	0.0	0.0	0.0	0.0	-2.861023e-10	-0.0094251465	0.0	0.0	0.029084494	-0.0037664436	100.0	0.0	79.0	0.99542713	0.007095838	20000	1920.2263929843903
4	-4.552475	2.4071918	-0.7	-7.0	0.22772278	0.41936272	1.0	0.0	49.445545	162.0	0.00648	-0.07930752	0.14164424	0.031364355	-1.1797315	0.0	0.0	0.0	0.0	6.5803527e-09	-0.013890416	0.0	0.0	0.032987542	-0.0033165012	100.0	0.0	79.0	0.99678147	0.0077344663	25000	2409.9621288776398
5	-4.035186	2.4278214	-0.5	-7.0	0.21296297	0.40940166	1.0	0.0	46.157406	185.0	0.006166666666666667	-0.096849546	0.14017737	0.025336552	-0.835834	0.0	0.0	0.0	0.0	-4.1007997e-09	-0.007508663	0.0	0.0	0.044176146	-0.004748769	100.0	0.0	79.0	0.9895457	0.007354054	30000	2893.172611951828
6	-3.8198202	2.128986	-0.4	-7.0	0.2072072	0.4053053	1.0	0.0	44.837837	208.0	0.005942857142857143	-0.09920681	0.11841997	0.060739927	-0.70601815	0.0	0.0	0.0	0.0	-2.7179718e-09	-0.009803893	0.0	0.0	0.033397693	-0.0046476573	100.0	0.0	79.0	0.9945922	0.010009497	35000	3389.533303976059
7	-3.6391306	2.0661535	-0.4	-7.0	0.2173913	0.412471	1.0	0.0	43.27826	233.0	0.005825	-0.07033307	0.11974937	0.07162116	-0.78749895	0.0	0.0	0.0	0.0	-2.670288e-09	-0.009807304	0.0	0.0	0.05559347	-0.0093464665	100.0	0.0	79.0	0.98376465	0.009740576	40000	3876.4793031215668
8	-3.8079646	2.2162368	-0.9	-7.0	0.22123894	0.41508096	1.0	0.0	44.115044	258.0	0.005733333333333333	-0.08919796	0.10993366	0.22378606	-0.91400874	0.0	0.0	0.0	0.0	-8.773804e-09	-0.008344505	0.0	0.0	0.038846456	-0.008523785	100.0	0.0	79.0	1.0016861	0.0074717905	45000	4350.191465616226
9	-3.4829054	1.8925536	-1.0	-7.0	0.1965812	0.39741293	1.0	0.0	42.726494	281.0	0.00562	-0.09421356	0.13834345	0.18238832	-1.060156	0.0	0.0	0.0	0.0	-2.670288e-09	-0.009647529	0.0	0.0	0.04409961	-0.004672747	100.0	0.0	79.0	0.979604	0.0076658064	50000	4829.658833742142
10	-3.5878258	1.8970984	-0.8	-7.0	0.2173913	0.412471	1.0	0.0	43.243477	306.0	0.0055636363636363635	-0.07727395	0.105695896	0.15245074	-0.7593989	0.0	0.0	0.0	0.0	-1.4877319e-08	-0.007927859	0.0	0.0	0.04917475	-0.007683739	100.0	0.0	79.0	0.968424	0.0067680664	55000	5308.745936870575
11	-3.4025426	1.70803	-0.8	-7.0	0.18644068	0.38946182	1.0	0.0	42.135593	328.0	0.0054666666666666665	-0.091869004	0.13882463	0.06630908	-0.99359703	0.0	0.0	0.0	0.0	3.6239625e-09	-0.00421391	0.0	0.0	0.034988943	-0.005101638	100.0	0.0	9.0	0.9653753	0.0115552815	60000	5787.645761013031
12	-3.0804687	1.5522192	-0.7	-7.0	0.21875	0.41339865	1.0	0.0	38.882812	356.0	0.005476923076923077	-0.093119435	0.15280011	0.16778979	-0.9434794	0.0	0.0	0.0	0.0	-4.196167e-09	-0.010178843	0.0	0.0	0.05202923	-0.009769622	100.0	0.0	79.0	0.9305813	0.010507029	65000	6265.331458568573
13	-3.2941177	1.5335077	-0.8	-7.0	0.14285715	0.34992713	1.0	0.0	42.0	373.0	0.005328571428571428	-0.067865	0.1249242	0.119075865	-0.82486385	0.0	0.0	0.0	0.0	-5.722046e-10	-0.009367824	0.0	0.0	0.03150051	-0.00430749	100.0	0.0	79.0	0.91742676	0.0075771254	70000	6745.41591668129
14	-3.0398436	1.5543959	-0.9	-7.0	0.2265625	0.41860715	1.0	0.0	38.648438	402.0	0.00536	-0.07377596	0.12896064	0.089791596	-0.69038874	0.0	0.0	0.0	0.0	-2.2029877e-08	-0.0020318439	0.0	0.0	0.062110774	-0.010208029	100.0	0.0	3.0	0.88446766	0.017057525	75000	7222.819201469421
15	-3.5210526	1.5142293	-1.0	-7.0	0.16666667	0.37267798	1.0	0.0	43.798244	421.0	0.0052625	-0.09652607	0.14522244	0.17877427	-0.83490443	0.0	0.0	0.0	0.0	3.98159e-09	-0.011297795	0.0	0.0	0.04878225	-0.007957999	100.0	0.0	79.0	0.8530172	0.00946309	80000	7697.912100553513
16	-3.47807	1.5781268	-1.1	-7.0	0.13157895	0.33803242	1.0	0.0	43.657894	436.0	0.005129411764705882	-0.09714307	0.13213575	0.11793323	-0.72673637	0.0	0.0	0.0	0.0	-8.392334e-09	-0.0100634955	0.0	0.0	0.030705836	-0.0075030625	100.0	0.0	79.0	0.8223638	0.0059919343	85000	8175.782225847244
17	-3.2436972	1.4045926	-0.8	-7.0	0.1092437	0.31194472	1.0	0.0	41.865547	449.0	0.004988888888888889	-0.06535386	0.124782495	0.1661816	-0.8666102	0.0	0.0	0.0	0.0	6.6757204e-09	-0.007988078	0.0	0.0	0.026981967	-0.0067434777	100.0	0.0	79.0	0.8172982	0.006423728	90000	8711.04248547554
18	-3.3124998	1.4561114	-1.0	-7.0	0.2	0.4	1.0	0.0	41.65	473.0	0.004978947368421052	-0.05593835	0.099481076	0.11042033	-0.8219533	0.0	0.0	0.0	0.0	2.0217895e-08	-0.011053158	0.0	0.0	0.04153888	-0.014388384	100.0	0.0	79.0	0.78007317	0.007418159	95000	9208.540395021439
19	-3.1636362	1.2686949	-0.9	-7.0	0.11570248	0.3198678	1.0	0.0	41.090908	487.0	0.00487	-0.0770896	0.16448091	0.0630264	-0.8941843	0.0	0.0	0.0	0.0	1.2683868e-08	-0.008192059	0.0	0.0	0.032675415	-0.010812372	100.0	0.0	79.0	0.7506994	0.005796261	100000	9739.052443027496
20	-3.2316666	1.376468	-1.1	-7.0	0.125	0.3307189	1.0	0.0	41.483334	502.0	0.0047809523809523805	-0.06032082	0.11749349	0.16018978	-0.6694169	0.0	0.0	0.0	0.0	-7.05719e-09	-0.01040158	0.0	0.0	0.030821731	-0.008668408	100.0	0.0	48.0	0.7117095	0.012375366	105000	10217.70039987564
21	-3.0144002	1.2866516	-1.0	-7.0	0.104	0.3052605	1.0	0.0	39.824	515.0	0.004681818181818182	-0.066100426	0.14742203	0.0835815	-0.8903033	0.0	0.0	0.0	0.0	2.002716e-09	-0.009622618	0.0	0.0	0.034459267	-0.008329824	100.0	0.0	79.0	0.7120414	0.0089231515	110000	10719.162829875946
22	-3.2974355	1.3286753	-0.6	-7.0	0.07692308	0.26646936	1.0	0.0	42.65812	524.0	0.004556521739130435	-0.047778867	0.08601156	0.1353431	-0.6618189	0.0	0.0	0.0	0.0	8.5830685e-09	-0.008947422	0.0	0.0	0.019427244	-0.0030677766	100.0	0.0	79.0	0.68697083	0.0058618416	115000	11201.683734416962
23	-3.0593495	1.2218763	-0.9	-7.0	0.08943089	0.2853647	1.0	0.0	40.430893	535.0	0.004458333333333333	-0.02718446	0.0691679	0.14530057	-0.5722349	0.0	0.0	0.0	0.0	-7.6293943e-10	-0.0096567385	0.0	0.0	0.02891676	-0.0036710165	100.0	0.0	79.0	0.7032494	0.011184002	120000	11678.784206151962
24	-3.0807998	1.4061974	-1.1	-7.0	0.12	0.3249615	1.0	0.0	39.96	550.0	0.0044	-0.06761611	0.09946863	0.07589286	-0.9226704	0.0	0.0	0.0	0.0	9.536743e-09	-0.00981716	0.0	0.0	0.031723164	-0.003753731	100.0	0.0	79.0	0.6780421	0.008706479	125000	12153.875589609146
25	-3.1439025	1.3254939	-1.1	-7.0	0.13821138	0.3451217	1.0	0.0	40.560974	567.0	0.004361538461538462	-0.0639126	0.09800811	0.055591557	-0.7840768	0.0	0.0	0.0	0.0	-2.670288e-09	-0.008752299	0.0	0.0	0.03236993	-0.010389902	100.0	0.0	79.0	0.6441806	0.0084777195	130000	12627.416911840439
26	-3.2016804	1.2667687	-1.1	-7.0	0.075630255	0.2644056	1.0	0.0	41.815125	576.0	0.004266666666666667	-0.07276411	0.15624961	0.06428138	-0.9192905	0.0	0.0	0.0	0.0	2.0980835e-09	-0.007864692	0.0	0.0	0.035672024	-0.012917388	100.0	0.0	79.0	0.6028988	0.004018757	135000	13097.861645698547
27	-2.9456697	1.1581112	-1.0	-7.0	0.09448819	0.29250672	1.0	0.0	39.244095	588.0	0.0042	-0.054369606	0.08413142	0.08207389	-0.41252604	0.0	0.0	0.0	0.0	6.4849854e-09	-0.01009251	0.0	0.0	0.035029735	-0.0040694885	100.0	0.0	79.0	0.58920085	0.0055530365	140000	13597.857346534729
28	-3.2555554	1.2499876	-1.1	-7.0	0.042735044	0.20225914	1.0	0.0	42.521366	593.0	0.0040896551724137935	-0.06484116	0.08942891	0.11815235	-1.0339246	0.0	0.0	0.0	0.0	8.392334e-09	-0.008451506	0.0	0.0	0.021662699	-0.002759479	100.0	0.0	79.0	0.5762406	0.005092215	145000	14081.837132930756
29	-3.2411766	1.3526453	-1.0	-7.0	0.09243698	0.28964186	1.0	0.0	41.932774	604.0	0.004026666666666666	-0.05047317	0.068073474	0.08641535	-0.39766726	0.0	0.0	0.0	0.0	-4.9591065e-09	-0.0012362154	0.0	0.0	0.02668376	-0.0072050896	100.0	0.0	4.0	0.5471532	0.0111263795	150000	14569.541262626648
30	-3.5623856	1.2248789	-1.2	-7.0	0.036697246	0.18801744	1.0	0.0	45.715595	608.0	0.00392258064516129	-0.052115284	0.09362785	0.08552503	-0.673373	0.0	0.0	0.0	0.0	-4.1007997e-09	-0.008385626	0.0	0.0	0.012990854	-0.0032346733	100.0	0.0	79.0	0.60198337	0.010748342	155000	15050.386177062988
31	-3.6745284	1.1792275	-1.8	-7.0	0.0	0.0	0.0	0.0	47.122643	608.0	0.0038	-0.036472347	0.04796847	0.064898886	-0.3041458	0.0	0.0	0.0	0.0	-2.9182434e-08	-0.008526046	0.0	0.0	0.0013600761	-0.0009117698	100.0	0.0	79.0	0.5896097	0.0071674744	160000	15539.037503242493
32	-3.821154	1.3589216	-1.8	-7.0	0.009615385	0.09758549	1.0	0.0	48.048077	609.0	0.003690909090909091	-0.027578417	0.051601052	0.055555664	-0.4673559	0.0	0.0	0.0	0.0	0.0	-0.0075367456	0.0	0.0	0.0042589465	-0.00082491897	100.0	0.0	27.0	0.5677254	0.01254268	165000	16022.054344415665
33	-3.4727275	1.169686	-1.2	-7.0	0.0	0.0	0.0	0.0	45.327274	609.0	0.0035823529411764705	-0.024473505	0.03737843	0.035619196	-0.3121467	0.0	0.0	0.0	0.0	-1.6784668e-08	-0.0073619043	0.0	0.0	0.0011820382	-0.0007639937	100.0	0.0	79.0	0.5485638	0.0058806497	170000	16493.322375297546
34	-3.4918182	1.0810881	-1.1	-7.0	0.018181818	0.13360853	1.0	0.0	45.418182	611.0	0.0034914285714285715	-0.017187754	0.02619494	0.04654535	-0.19542536	0.0	0.0	0.0	0.0	-8.773804e-09	-0.0016232495	0.0	0.0	0.0072629624	-0.0019869036	100.0	0.0	5.0	0.51891655	0.012458072	175000	16970.59757208824
35	-3.3192983	1.1003091	-1.4	-7.0	0.0	0.0	0.0	0.0	43.80702	611.0	0.0033944444444444443	-0.017760452	0.03718908	0.075581186	-0.45200077	0.0	0.0	0.0	0.0	3.0517577e-09	-0.003983003	0.0	0.0	0.0009772906	-0.00074600894	100.0	0.0	79.0	0.5005464	0.0054354803	180000	17449.072409391403
