Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.11111111	0.8565547	1.0	-1.0	0.0	0.0	0.0	0.0	39.61111	0.0	0.0	-0.08227311	0.36206743	0.64499	-0.79273957	0.39588583	0.386343	1.0578698	-0.4184904	-1.7166137e-08	-0.004759994	3.862381e-09	0.0006244579	0.5566451	-0.30135086	0.2106779	-0.16569716	0	0	4.0	1.0541865	0.010836591	5000	475.84433603286743
1	0.17886178	0.83649015	1.0	-1.0	0.0	0.0	0.0	0.0	40.544716	0.0	0.0	0.32496518	0.16138475	0.654076	-0.77207386	0.1848016	0.093863145	0.42476666	-0.09663878	-1.0871887e-08	-0.015127219	4.762411e-09	-0.00063204585	0.19401045	-0.03674507	0.020658368	-0.013509821	0	0	79.0	1.0453141	0.011174157	10000	937.3643445968628
2	0.29090908	0.8129123	1.0	-1.0	0.0	0.0	0.0	0.0	45.163635	0.0	0.0	0.4455747	0.24603014	1.0003183	-0.78577507	0.090947166	0.053817265	0.26783377	-0.15448298	4.196167e-09	-0.01322882	-7.6591966e-10	-0.00048454042	0.16573438	-0.027914122	0.0068468903	-0.004916358	0	0	57.0	1.0380751	0.012289896	15000	1419.403967142105
3	0.51937985	0.79826146	1.0	-1.0	0.0	0.0	0.0	0.0	38.689922	0.0	0.0	0.5150304	0.26890716	1.1618676	-1.0940776	0.027122034	0.026567271	0.14515023	-0.12884173	2.2315978e-08	-0.004875342	-2.1159649e-10	0.000110431836	0.19171618	-0.03245394	0.0012509531	-0.00085102126	0	0	9.0	1.0325245	0.01420224	20000	1918.8660781383514
4	0.41525424	0.8569385	1.0	-1.0	0.0	0.0	0.0	0.0	42.067795	0.0	0.0	0.63354474	0.254471	1.2853214	-0.65262777	0.004284435	0.015085125	0.05318892	-0.094259456	4.7683715e-09	-0.010282983	-2.1159649e-10	-3.3143446e-05	0.19151364	-0.026490986	0.00024694897	-0.0001433926	0	0	79.0	1.0097907	0.0067753443	25000	2417.0986211299896
5	0.41860464	0.8689089	1.0	-1.0	0.0	0.0	0.0	0.0	38.736435	0.0	0.0	0.56494075	0.33318052	1.1489927	-0.7572374	0.0018642071	0.009857401	0.09287727	-0.040037513	1.0967255e-08	-0.010939258	2.1606683e-11	7.070737e-06	0.19243692	-0.02260822	9.34945e-05	-4.147458e-05	0	0	49.0	1.0050743	0.012088131	30000	2915.972817182541
6	0.576	0.7824475	1.0	-1.0	0.0	0.0	0.0	0.0	39.952	0.0	0.0	0.6409158	0.24678849	1.0984797	-1.0581218	0.0001330041	0.00716534	0.051193465	-0.030751903	-8.106232e-09	-0.0031036648	-2.2351743e-12	2.0976933e-05	0.15114236	-0.012230396	5.3181626e-05	-1.7865172e-05	0	0	6.0	0.96456426	0.014699909	35000	3418.1187422275543
7	0.5982906	0.7517481	1.0	-1.0	0.0	0.0	0.0	0.0	42.504272	0.0	0.0	0.66206527	0.29894733	1.1648575	-1.2335263	0.00020760126	0.006742522	0.05974845	-0.032600645	4.863739e-09	-0.010941683	6.482005e-11	-7.74471e-06	0.1330036	-0.025883175	4.5330566e-05	-1.27303065e-05	0	0	79.0	0.9251405	0.010714101	40000	3896.3242378234863
8	0.6315789	0.75234324	1.0	-1.0	0.0	0.0	0.0	0.0	43.535088	0.0	0.0	0.6825945	0.27307114	1.0933095	-0.506311	0.0006140116	0.006047374	0.037757028	-0.03226886	1.1444092e-08	-0.0039218105	1.1026859e-10	-2.7467458e-06	0.13697937	-0.019949779	3.4981473e-05	-9.420435e-06	0	0	6.0	0.87211347	0.014549829	45000	4368.410924911499
9	0.7692308	0.55868614	1.0	-1.0	0.0	0.0	0.0	0.0	47.89423	0.0	0.0	0.7294351	0.23281915	1.0870965	-0.6262531	-5.911951e-05	0.005253676	0.029056638	-0.02589346	-2.4795532e-09	-0.009617795	6.4447524e-11	1.46746e-06	0.04854507	-0.015434645	2.7281014e-05	-8.5185075e-06	0	0	79.0	0.82711875	0.0098092845	50000	4841.845112085342
10	0.81904763	0.5482605	1.0	-1.0	0.0	0.0	0.0	0.0	47.54286	0.0	0.0	0.75448555	0.17901886	1.0382271	-0.6085145	0.00033496562	0.0044421437	0.029805075	-0.02244217	0.0	-0.0060994765	-6.7055224e-12	-3.3545755e-06	0.07469753	-0.016625144	2.1263588e-05	-6.463969e-06	0	0	79.0	0.82275724	0.008785967	55000	5314.703519105911
11	0.853211	0.48511207	1.0	-1.0	0.0	0.0	0.0	0.0	45.862385	0.0	0.0	0.7110443	0.2594487	1.1821921	-1.0715066	0.0002584793	0.0041795936	0.03161417	-0.024027484	-1.9073486e-10	-0.010797479	2.5331974e-11	-8.002952e-06	0.047217272	-0.013733707	1.7350018e-05	-4.468069e-06	0	0	79.0	0.7929564	0.0111724045	60000	5792.611256122589
