Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-3.7209086	2.6129081	-0.3	-10.0	0.26363635	0.44060436	1.0	0.0	45.00909	29.0	0.0058	0.6000187	0.24264188	1.0444956	0.106746145	0.35208002	0.32401165	1.0354214	-0.20145637	9.467385e-09	-0.0015471692	4.673004e-09	-0.0016590222	9.320449	-7.1205063	0.21841021	-0.16462159	10.0	1.9970207	11.0	1.049577	0.012987529	5000	470.3836350440979
1	-3.0977104	2.4219248	-0.3	-10.0	0.35877863	0.4796421	1.0	0.0	37.694656	76.0	0.0076	-1.811557	0.74462444	0.6980845	-4.07174	0.09733691	0.14675134	0.80054635	-0.105068125	2.156424e-09	-0.001877966	3.671646e-09	-0.0047471602	2.4435067	-0.6756512	0.07063798	-0.016553983	11.997021	2.2814198	5.0	1.0316912	0.023172943	10000	937.6998243331909
2	-5.538461	2.6237688	-0.3	-10.0	0.14102565	0.34804794	1.0	0.0	63.28205	87.0	0.0058	-1.797967	1.1243553	0.35890514	-4.005283	0.065072596	0.1375536	0.8786104	-0.16603781	1.7436376e-09	-0.00083204114	1.1444092e-09	-0.001973908	2.5077524	-1.1491402	0.035041764	-0.009424558	14.27844	1.2705717	10.0	0.9780504	0.013829276	15000	1402.4342551231384
3	-6.321429	2.5718193	-0.9	-10.0	0.057142857	0.2321154	1.0	0.0	70.91428	91.0	0.00455	-2.5451279	1.3725376	1.1175628	-5.220106	0.029116442	0.06770382	0.66473	-0.086815685	-2.852945e-09	-0.0009945312	-6.198883e-10	-0.0008319613	2.1450188	-0.75456643	0.009388726	-0.0029249918	15.549012	0.5491247	24.0	0.94013816	0.012488085	20000	1866.078541278839
4	-5.5973687	2.2417083	-1.0	-10.0	0.05263158	0.2232969	1.0	0.0	65.38158	95.0	0.0038	-2.6877916	1.7391043	2.2462912	-6.789794	0.009616834	0.03987425	0.41236976	-0.08896229	1.3427415e-10	-0.00075448357	7.152558e-11	-0.00027201234	1.7689445	-0.32094193	0.009447755	-0.0013883449	16.098137	0.4161682	17.0	0.9423333	0.012542944	25000	2334.486749649048
5	-5.592208	2.2811346	-0.9	-10.0	0.051948052	0.22192217	1.0	0.0	64.92208	99.0	0.0033	-2.8635209	1.7156947	2.5941517	-6.3858895	0.011172546	0.047343265	0.3243565	-0.1258585	3.8891712e-10	-0.0004777552	-2.9206276e-10	-0.00019057239	1.8496286	-0.32952452	0.0111532295	-0.001234211	16.514305	0.44421768	19.0	0.87025994	0.013006992	30000	2805.8458755016327
6	-5.466667	2.2828608	-0.7	-10.0	0.025641026	0.15806189	1.0	0.0	63.833332	101.0	0.0028857142857142857	-2.925321	1.8276677	2.464824	-7.326428	0.009890026	0.03202806	0.30242825	-0.10396657	-7.752734e-10	-0.00035316794	-5.9604643e-10	-0.00034030346	1.8590262	-0.39042282	0.013343083	-0.0016428428	16.958523	0.24663734	10.0	0.8567041	0.013512747	35000	3279.301244735718
7	-4.897647	2.2113068	-0.7	-10.0	0.07058824	0.25613576	1.0	0.0	58.42353	107.0	0.002675	-2.3409493	1.8511286	3.0077565	-7.4105644	0.022449922	0.04380633	0.20348391	-0.07885434	-6.139773e-10	-0.00062598864	-9.536743e-11	-0.0009049772	2.4643106	-0.3990445	0.023973642	-0.002159318	17.20516	0.6409836	79.0	0.8298631	0.008455725	40000	3748.481589794159
8	-5.046988	2.449408	-1.0	-10.0	0.036144577	0.18664981	1.0	0.0	59.746986	110.0	0.0024444444444444444	-2.484356	1.6973001	1.5980046	-6.342105	0.02588022	0.050103065	0.26305667	-0.12843494	-8.6414603e-10	-0.0010067875	-1.4305115e-10	-0.0011194926	1.3787138	-0.49291933	0.014379105	-0.0021757716	17.846144	0.45775032	79.0	0.81604207	0.012000615	45000	4220.629271507263
9	-5.1987653	2.4353616	-0.4	-10.0	0.024691358	0.15518276	1.0	0.0	61.22222	112.0	0.00224	-2.3627222	1.8614825	2.5239854	-6.5095596	0.022549126	0.048048895	0.37993333	-0.09771302	-7.807278e-10	-0.0006109345	-1.66893e-10	-0.0003026064	1.2554277	-0.19034767	0.0082869	-0.0015376573	18.303894	0.23055267	79.0	0.78946155	0.010123717	50000	4690.109618186951
10	-4.3806453	2.0990145	-0.4	-10.0	0.086021505	0.28039578	1.0	0.0	53.623657	120.0	0.002181818181818182	-2.3030586	1.8555205	2.209663	-6.8032985	0.015384951	0.031030763	0.18556085	-0.059282105	6.5100225e-10	-0.00059365697	-2.503395e-10	-0.0014326024	1.3753926	-0.57324666	0.027472556	-0.0038384423	18.534447	0.9394207	8.0	0.80240333	0.01437811	55000	5160.878583431244
11	-4.9547615	2.2211328	-1.1	-10.0	0.023809524	0.15245533	1.0	0.0	59.5	122.0	0.002033333333333333	-1.8481383	1.5560447	1.7343838	-5.931055	0.03061803	0.05978778	0.48510125	-0.10891257	-6.2808453e-10	-0.0002543654	1.2397766e-09	-6.046431e-05	1.175559	-0.2679245	0.0067934967	-0.0031981887	19.473867	0.42827988	8.0	0.803178	0.01414379	60000	5630.455300092697
12	-4.6908045	2.194488	-0.7	-10.0	0.04597701	0.20943524	1.0	0.0	56.896553	126.0	0.0019384615384615384	-2.2966378	1.7604162	1.7171854	-7.153764	0.010557748	0.024113117	0.19260985	-0.05870313	8.59095e-10	-0.0009949263	2.026558e-10	-0.001279544	2.0843	-0.19730592	0.025100397	-0.0072156657	19.902147	0.52570343	74.0	0.8094419	0.012274801	65000	6099.979143857956
13	-4.952381	2.3120017	-1.3	-10.0	0.023809524	0.15245533	1.0	0.0	59.214287	128.0	0.0018285714285714285	-2.4294863	1.852232	1.3841445	-6.8243165	0.036315754	0.09241001	0.48807493	-0.17824204	2.2634292e-09	-0.0007674242	2.1874904e-09	-0.0007535733	1.4562926	-0.58936507	0.019905128	-0.006363389	20.42785	0.32454872	18.0	0.7844801	0.014519309	70000	6573.566163301468
14	-4.685227	2.2674344	-0.8	-10.0	0.011363637	0.105992936	1.0	0.0	56.727272	129.0	0.00172	-1.9671148	1.7677454	1.5615824	-6.800251	0.01767912	0.038185913	0.1983229	-0.093304455	-2.5185318e-10	-0.0005304647	-3.0994415e-10	-0.00015653958	1.8571533	-0.4719758	0.003364578	-0.0012495117	20.7524	0.057086945	79.0	0.77488494	0.009904451	75000	7049.522443056107
15	-4.5099998	2.2150521	-0.4	-10.0	0.022222223	0.14740555	1.0	0.0	55.0	131.0	0.0016375	-2.3405063	1.7628938	1.8169687	-6.7696433	0.008769736	0.019220132	0.11797068	-0.035674606	1.1469862e-09	-0.00068718306	1.0371208e-09	-0.00039439797	1.6885264	-0.3082707	0.012022782	-0.0014119046	20.809486	0.17069244	68.0	0.7797997	0.012080138	80000	7521.9440133571625
16	-4.557303	2.2503376	-1.2	-10.0	0.02247191	0.14821242	1.0	0.0	55.460674	133.0	0.0015647058823529411	-2.4931495	1.9523212	1.7998027	-7.694199	0.019466907	0.036539048	0.24807072	-0.06789245	-5.014608e-10	-0.000752938	6.556511e-11	-0.0007752205	2.3000402	-0.35023355	0.0068258103	-0.0020695338	20.980179	0.23846817	75.0	0.76068985	0.012169777	85000	7997.9617347717285
17	-4.1536846	1.8952466	-0.6	-10.0	0.031578947	0.1748763	1.0	0.0	51.842106	136.0	0.001511111111111111	-2.2516656	1.8936943	1.7936305	-8.339701	0.007751294	0.026232589	0.18430899	-0.05184002	-1.4677873e-09	-0.0011083056	-5.841255e-10	-0.0013001097	0.8743806	-0.39881477	0.018678071	-0.005529971	21.218647	0.41060638	79.0	0.7325929	0.011823381	90000	8469.463294744492
18	-4.1164947	2.2114828	-0.4	-10.0	0.0	0.0	0.0	0.0	51.484535	136.0	0.001431578947368421	-1.7645074	1.7491894	1.6826633	-8.009202	0.03153766	0.07948606	0.5340429	-0.08964131	-8.830827e-10	-0.0001675119	-1.0341406e-09	-0.00011148445	0.9897293	-0.16669327	0.0059464243	-0.0043870094	21.629253	-0.06574249	4.0	0.7046721	0.013865146	95000	8940.313354969025
