Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.3670412	1.070248	-0.3	-8.1	0.5730337	0.49463737	1.0	0.0	18.696629	153.0	0.0306	-0.27402073	0.41872135	0.80360883	-1.0634594	0.0	0.0	0.0	0.0	2.8133393e-09	-0.00591386	0.0	0.0	0.22097607	-0.08793627	100.0	0.0	3.0	1.0840744	0.015599954	5000	493.5729787349701
1	-2.0878453	1.75038	-0.3	-8.6	0.44198895	0.4966233	1.0	0.0	27.320442	233.0	0.0233	-0.23740435	0.25454065	0.22860542	-1.0339236	0.0	0.0	0.0	0.0	6.1035155e-09	-0.008768014	0.0	0.0	0.10944036	-0.017189503	100.0	0.0	5.0	1.0887371	0.014073828	10000	987.803786277771
2	-2.9626865	2.2860274	-0.3	-10.0	0.31343284	0.46388865	1.0	0.0	37.261192	275.0	0.018333333333333333	-0.14510955	0.1923937	0.09956273	-1.1629426	0.0	0.0	0.0	0.0	-3.528595e-09	-0.0052906056	0.0	0.0	0.06505372	-0.00966353	100.0	0.0	8.0	1.0698293	0.012026967	15000	1483.0745792388916
3	-4.061538	2.741957	-0.4	-10.0	0.25	0.4330127	1.0	0.0	47.91346	301.0	0.01505	-0.09971542	0.15104793	0.121242166	-0.78440946	0.0	0.0	0.0	0.0	-3.0517577e-09	-0.0081274025	0.0	0.0	0.03526263	-0.007988768	100.0	0.0	11.0	1.0414363	0.012650831	20000	1974.613492012024
4	-4.990588	2.909159	-0.4	-10.0	0.105882354	0.307687	1.0	0.0	58.317646	310.0	0.0124	-0.05633382	0.115797855	0.08151724	-1.0148752	0.0	0.0	0.0	0.0	1.6403199e-08	-0.00617446	0.0	0.0	0.020436047	-0.005698135	100.0	0.0	50.0	1.0028168	0.012543877	25000	2464.995010137558
5	-4.603333	2.0340135	-0.4	-10.0	0.1	0.29999998	1.0	0.0	55.444443	319.0	0.010633333333333333	-0.044034954	0.05693781	0.047305122	-0.56679666	0.0	0.0	0.0	0.0	1.3160705e-08	-0.007264829	0.0	0.0	0.020562364	-0.005351695	100.0	0.0	79.0	0.9797363	0.010970436	30000	2956.228852033615
6	-4.0525255	1.5864543	-0.5	-10.0	0.1010101	0.30134213	1.0	0.0	50.303032	329.0	0.0094	-0.053252064	0.10622435	0.08850624	-0.8966585	0.0	0.0	0.0	0.0	-1.5640259e-08	-0.007015958	0.0	0.0	0.020156335	-0.0039827153	100.0	0.0	79.0	0.92620915	0.008904584	35000	3461.705402135849
7	-4.1666665	1.7579384	-0.8	-10.0	0.072916664	0.25999966	1.0	0.0	51.520832	336.0	0.0084	-0.045213114	0.081856936	0.115479335	-0.6179757	0.0	0.0	0.0	0.0	2.2888185e-09	-0.010779321	0.0	0.0	0.02262738	-0.004365599	100.0	0.0	79.0	0.8765378	0.011096841	40000	3956.68501996994
8	-4.2212763	1.6451005	-0.4	-10.0	0.04255319	0.20184752	1.0	0.0	52.51064	340.0	0.007555555555555556	-0.052459657	0.09071612	0.1023165	-1.0372876	0.0	0.0	0.0	0.0	2.2411346e-09	-0.010525438	0.0	0.0	0.014375189	-0.0041246144	100.0	0.0	79.0	0.91127664	0.008508983	45000	4451.713869094849
9	-4.017172	1.8523282	-0.4	-10.0	0.04040404	0.19690494	1.0	0.0	50.17172	344.0	0.00688	-0.04668618	0.07140988	0.07056922	-0.43489766	0.0	0.0	0.0	0.0	-2.3174286e-08	-0.006204214	0.0	0.0	0.014140903	-0.0022765975	100.0	0.0	79.0	0.86617005	0.0047602947	50000	4948.775530576706
