Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.3003677	0.9236476	-0.3	-8.8	0.5477941	0.4977105	1.0	0.0	18.341911	149.0	0.0298	-0.123906955	0.40503037	0.8017326	-1.0642452	0.0	0.0	0.0	0.0	3.8146974e-09	-0.012248022	0.0	0.0	0.31703097	-0.16256048	100.0	0.0	15.0	1.0847118	0.013566058	5000	484.51932883262634
1	-1.8271357	1.4472526	-0.3	-6.9	0.41708544	0.49307725	1.0	0.0	25.015076	232.0	0.0232	-0.2719717	0.2454449	0.24827245	-0.93774486	0.0	0.0	0.0	0.0	-6.008148e-09	-0.0067376303	0.0	0.0	0.13428596	-0.02219481	100.0	0.0	7.0	1.090001	0.015693445	10000	964.8011875152588
2	-2.7167785	2.3287637	-0.3	-10.0	0.4161074	0.4929118	1.0	0.0	33.44295	294.0	0.0196	-0.15052788	0.196774	0.20816351	-1.0408692	0.0	0.0	0.0	0.0	1.6021728e-08	-0.007450939	0.0	0.0	0.07340847	-0.0065264404	100.0	0.0	8.0	1.0765016	0.014648199	15000	1441.4680180549622
3	-5.2095237	3.0982952	-0.4	-10.0	0.20238096	0.4017747	1.0	0.0	59.42857	311.0	0.01555	-0.087445766	0.15871258	0.23480856	-0.9630815	0.0	0.0	0.0	0.0	9.799003e-09	-0.007023956	0.0	0.0	0.037299614	-0.008216808	100.0	0.0	10.0	1.0431637	0.013769996	20000	1912.5292522907257
4	-6.266667	3.1538336	-0.5	-10.0	0.18055555	0.38464952	1.0	0.0	68.93056	324.0	0.01296	-0.06662165	0.09876156	0.082504556	-0.6630598	0.0	0.0	0.0	0.0	0.0	-0.011950796	0.0	0.0	0.022948656	-0.00251011	100.0	0.0	79.0	0.9909338	0.007101423	25000	2381.459625482559
5	-6.267606	2.7214212	-0.9	-10.0	0.112676054	0.3161964	1.0	0.0	69.80282	332.0	0.011066666666666667	-0.06631678	0.08572553	0.10397089	-0.6611536	0.0	0.0	0.0	0.0	1.1634826e-08	-0.008465618	0.0	0.0	0.020001499	-0.004416369	100.0	0.0	68.0	0.98262346	0.01202476	30000	2854.1948516368866
6	-5.808	2.4764361	-0.8	-10.0	0.12	0.32496154	1.0	0.0	66.293335	341.0	0.009742857142857143	-0.061989423	0.09155996	0.08327708	-0.9189187	0.0	0.0	0.0	0.0	6.008148e-09	-0.007857794	0.0	0.0	0.028737525	-0.009087952	100.0	0.0	79.0	0.9434732	0.008376051	35000	3337.146337032318
7	-5.115854	2.356334	-0.9	-10.0	0.09756097	0.29672012	1.0	0.0	60.012196	349.0	0.008725	-0.057014085	0.09253442	0.13875747	-0.598193	0.0	0.0	0.0	0.0	-7.629395e-09	-0.008569236	0.0	0.0	0.014883368	-0.0042949906	100.0	0.0	79.0	0.9307159	0.0066312095	40000	3813.232293367386
8	-5.396154	2.1364026	-1.2	-10.0	0.03846154	0.1923077	1.0	0.0	63.55128	352.0	0.007822222222222222	-0.0435968	0.06423349	0.06578715	-0.7143884	0.0	0.0	0.0	0.0	4.7683715e-09	-0.006858236	0.0	0.0	0.007078839	-0.0016959477	100.0	0.0	79.0	0.9358541	0.009079804	45000	4288.580766201019
9	-5.33125	2.3553445	-1.3	-10.0	0.05	0.21794495	1.0	0.0	62.3875	356.0	0.00712	-0.0357565	0.047531266	0.102716856	-0.4954167	0.0	0.0	0.0	0.0	8.5830687e-10	-0.0078032557	0.0	0.0	0.014071954	-0.0030215317	100.0	0.0	79.0	0.88377637	0.009318167	50000	4764.861423969269
10	-5.1487503	1.98488	-2.4	-10.0	0.0	0.0	0.0	0.0	61.6625	356.0	0.006472727272727272	-0.03673773	0.045105573	0.076229274	-0.36622292	0.0	0.0	0.0	0.0	1.9454957e-08	-0.00968452	0.0	0.0	0.0018283474	-0.0014822484	100.0	0.0	65.0	0.905091	0.012123962	55000	5242.394624233246
11	-4.9166665	2.3760629	-0.7	-10.0	0.023809524	0.15245533	1.0	0.0	58.595238	358.0	0.005966666666666667	-0.02429267	0.02193049	0.048299428	-0.16600457	0.0	0.0	0.0	0.0	-5.102158e-09	-0.0060477597	0.0	0.0	0.013157773	-0.001989088	100.0	0.0	79.0	0.86085194	0.0071187667	60000	5722.940353870392
12	-4.5155554	2.0411823	-1.1	-10.0	0.033333335	0.17950548	1.0	0.0	54.933334	361.0	0.005553846153846154	-0.033740923	0.041796125	0.071076944	-0.2306277	0.0	0.0	0.0	0.0	3.4332275e-09	-0.008500973	0.0	0.0	0.008016238	-0.0021488057	100.0	0.0	79.0	0.8541532	0.008471156	65000	6203.890777587891
13	-5.3884616	2.3579643	-1.3	-10.0	0.012820513	0.11249956	1.0	0.0	63.05128	362.0	0.005171428571428572	-0.034562893	0.039708443	0.057257414	-0.34460866	0.0	0.0	0.0	0.0	-4.005432e-09	-0.0046387427	0.0	0.0	0.0032630805	-0.0008202982	100.0	0.0	79.0	0.8585959	0.008583438	70000	6681.387421369553
14	-4.776744	2.0669422	-0.5	-10.0	0.069767445	0.2547547	1.0	0.0	57.744186	368.0	0.004906666666666667	-0.0343963	0.03180666	0.04117536	-0.32048032	0.0	0.0	0.0	0.0	1.2397766e-08	-0.007990893	0.0	0.0	0.029461127	-0.005689729	100.0	0.0	79.0	0.8112384	0.0074536004	75000	7158.864310979843
15	-4.6397724	2.0079126	-1.1	-10.0	0.022727273	0.1490327	1.0	0.0	56.647728	370.0	0.004625	-0.05865114	0.08581683	0.10045801	-1.0410011	0.0	0.0	0.0	0.0	-4.9591065e-09	-0.009215955	0.0	0.0	0.012043503	-0.0076704575	100.0	0.0	79.0	0.8191041	0.007990369	80000	7639.477445363998
16	-4.7755814	2.3620517	-0.8	-10.0	0.023255814	0.15071492	1.0	0.0	57.476746	372.0	0.004376470588235294	-0.026049262	0.030136503	0.037459306	-0.35324785	0.0	0.0	0.0	0.0	2.8610229e-08	-0.0072399257	0.0	0.0	0.010015038	-0.0020493018	100.0	0.0	67.0	0.8266805	0.012171528	85000	8117.308554172516
17	-4.346236	2.1583824	-0.4	-10.0	0.010752688	0.103136174	1.0	0.0	53.51613	373.0	0.0041444444444444445	-0.032077104	0.03915882	0.062298637	-0.32461014	0.0	0.0	0.0	0.0	3.0517577e-09	-0.0040659443	0.0	0.0	0.004874762	-0.0004566689	100.0	0.0	8.0	0.7849949	0.012624847	90000	8598.107106208801
18	-4.4053764	2.2838078	-0.8	-10.0	0.05376344	0.22555031	1.0	0.0	53.634407	378.0	0.003978947368421052	-0.03309828	0.035367854	0.062060762	-0.31293264	0.0	0.0	0.0	0.0	-1.0681152e-08	-0.0087206615	0.0	0.0	0.026361447	-0.0056923926	100.0	0.0	79.0	0.78807694	0.0069924896	95000	9075.503456354141
19	-3.8931372	2.0426943	-0.4	-10.0	0.0882353	0.2836368	1.0	0.0	48.637257	387.0	0.00387	-0.06589818	0.08435732	0.1335093	-0.81976426	0.0	0.0	0.0	0.0	6.1035155e-09	-0.0068413247	0.0	0.0	0.032944787	-0.004070727	100.0	0.0	79.0	0.75938195	0.0041196505	100000	9555.30591416359
20	-4.110309	2.1803472	-0.5	-10.0	0.020618556	0.14210358	1.0	0.0	51.082474	389.0	0.0037047619047619047	-0.059841145	0.06809113	0.12384917	-0.44410884	0.0	0.0	0.0	0.0	1.0299683e-08	-0.003999344	0.0	0.0	0.013576429	-0.0023230128	100.0	0.0	79.0	0.74183416	0.003350843	105000	10035.765305995941
21	-4.6793103	2.3642519	-0.3	-10.0	0.0	0.0	0.0	0.0	56.78161	389.0	0.0035363636363636365	-0.036533955	0.05335342	0.10557209	-0.32422304	0.0	0.0	0.0	0.0	-4.7683715e-09	-0.009703578	0.0	0.0	0.00300877	-0.0024639233	100.0	0.0	47.0	0.7196784	0.012961679	110000	10511.872576713562
