Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.3348659	1.0278362	-0.3	-8.6	0.5095785	0.49990827	1.0	0.0	19.122606	133.0	0.0266	0.121213205	0.29604438	0.802909	-0.51405066	0.0	0.0	0.0	0.0	2.89917e-08	-0.010043747	0.0	0.0	0.4429708	-0.2706476	100.0	0.0	4.0	1.0841149	0.01378389	5000	472.7171382904053
1	-1.9181348	1.5218384	-0.3	-8.8	0.43523315	0.49578753	1.0	0.0	25.564766	217.0	0.0217	-0.30936757	0.1658919	0.013161762	-1.0793266	0.0	0.0	0.0	0.0	-2.861023e-09	-0.0052704737	0.0	0.0	0.12449705	-0.009678565	100.0	0.0	6.0	1.0921019	0.012668748	10000	934.2075459957123
2	-2.660274	2.5082734	-0.3	-10.0	0.30821916	0.46175763	1.0	0.0	34.136986	262.0	0.017466666666666665	-0.19641198	0.20608611	0.08086935	-0.78527987	0.0	0.0	0.0	0.0	-8.487701e-09	-0.007041833	0.0	0.0	0.08340511	-0.013368681	100.0	0.0	8.0	1.0774914	0.013552843	15000	1386.7034938335419
3	-4.0028305	3.042543	-0.3	-10.0	0.28301886	0.45046553	1.0	0.0	47.084908	292.0	0.0146	-0.10219147	0.14150572	0.14385185	-0.7252327	0.0	0.0	0.0	0.0	-1.2397766e-08	-0.0074530886	0.0	0.0	0.06243258	-0.004426267	100.0	0.0	9.0	1.0564129	0.015370864	20000	1831.313903093338
4	-5.9276314	3.0551767	-0.9	-10.0	0.19736843	0.39801273	1.0	0.0	65.5	307.0	0.01228	-0.07326236	0.09662772	0.07205529	-0.5604549	0.0	0.0	0.0	0.0	8.3446505e-10	-0.007975447	0.0	0.0	0.038062427	-0.0026503354	100.0	0.0	8.0	1.0205631	0.0149193695	25000	2283.017828464508
5	-7.660655	3.0492826	-0.4	-10.0	0.08196721	0.27431476	1.0	0.0	81.29508	312.0	0.0104	-0.06708058	0.08059813	0.0544496	-0.6235806	0.0	0.0	0.0	0.0	1.8119812e-09	-0.0036516322	0.0	0.0	0.012736032	-0.0022365404	100.0	0.0	13.0	0.9855145	0.013131326	30000	2721.3840072155
6	-8.905556	2.040281	-1.0	-10.0	0.037037037	0.18885258	1.0	0.0	92.31481	314.0	0.008971428571428571	-0.05858811	0.040131774	0.056494687	-0.36430568	0.0	0.0	0.0	0.0	-1.2207031e-08	-0.00668499	0.0	0.0	0.0037059365	-0.000381056	100.0	0.0	79.0	0.9218415	0.0066262153	35000	3162.118934392929
7	-8.627273	2.5105922	-0.9	-10.0	0.054545455	0.22709085	1.0	0.0	89.472725	317.0	0.007925	-0.056140795	0.02607419	0.007812047	-0.2793994	0.0	0.0	0.0	0.0	2.3841857e-09	-0.008052031	0.0	0.0	0.0063260323	-0.0016013933	100.0	0.0	79.0	0.87225056	0.008639463	40000	3609.066573381424
8	-8.2	2.3283153	-0.6	-10.0	0.03508772	0.18400155	1.0	0.0	87.210526	319.0	0.0070888888888888885	-0.0590599	0.043846697	0.007413394	-0.46652895	0.0	0.0	0.0	0.0	3.0517577e-09	-0.0051008277	0.0	0.0	0.0057301996	-0.00081381993	100.0	0.0	79.0	0.866034	0.0068152216	45000	4065.263206720352
9	-7.182539	2.508749	-0.5	-10.0	0.015873017	0.12498425	1.0	0.0	79.15873	320.0	0.0064	-0.047754504	0.029091936	0.025660934	-0.46334463	0.0	0.0	0.0	0.0	-6.5803527e-09	-0.0065909238	0.0	0.0	0.0017724796	-0.00032525172	100.0	0.0	79.0	0.8585294	0.0067427116	50000	4517.914070606232
