Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.361597	1.0215586	-0.3	-8.4	0.5247148	0.4993888	1.0	0.0	18.969582	138.0	0.0276	-0.30572128	0.4130854	0.82047576	-1.055206	0.40726718	0.19647664	0.8231986	-0.10657829	-9.796836e-10	-0.0029091237	4.768372e-10	-0.0057704914	1.2895266	-0.7484629	0.28738463	-0.14741434	10.0	2.0006924	3.0	1.085102	0.022313697	5000	475.2061142921448
1	-2.1073446	1.5939512	-0.3	-7.5	0.36158192	0.48045856	1.0	0.0	28.220339	202.0	0.0202	-0.82121766	0.6621776	1.5451672	-3.15759	0.20334737	0.23440434	1.0110381	-0.2481875	-8.8036434e-10	-0.0015411343	-1.8119812e-09	-0.004790105	1.0341578	-0.33594906	0.10659739	-0.013066195	12.000692	1.6521482	4.0	1.0862349	0.018595742	10000	956.5876929759979
2	-3.2772355	2.4633844	-0.3	-10.0	0.28455284	0.4512012	1.0	0.0	40.284554	237.0	0.0158	-1.039384	0.95005924	1.126901	-3.6569254	0.108982205	0.15926592	0.8109177	-0.20333621	1.154147e-09	-0.0009407335	5.9604643e-10	-0.0031802047	2.049417	-0.6149156	0.058936864	-0.009471897	13.652841	1.421546	6.0	1.0596052	0.016248459	15000	1438.6088049411774
3	-4.269697	2.5250046	-0.4	-10.0	0.25252524	0.43446088	1.0	0.0	50.474747	262.0	0.0131	-1.7655602	1.2551781	1.8435359	-4.893073	0.059048045	0.13109256	0.8241982	-0.24325722	2.1444677e-09	-0.001660322	1.7046928e-09	-0.0026916957	1.552382	-0.20895743	0.054127954	-0.0106917545	15.074387	1.3465881	10.0	1.0257363	0.013043769	20000	1914.1291716098785
4	-4.5043483	2.1930678	-0.9	-10.0	0.13043478	0.3367812	1.0	0.0	54.25	274.0	0.01096	-2.098697	1.4700541	2.040432	-5.8750105	0.064787805	0.11682606	0.7677816	-0.18940274	-2.830776e-10	-0.0014228985	-1.6093255e-10	-0.0009448377	1.1838415	-0.1595155	0.030590644	-0.005302055	16.420975	0.87147903	17.0	0.9699996	0.013259407	25000	2392.885138988495
5	-3.8553402	1.6348585	-1.0	-10.0	0.08737864	0.28238913	1.0	0.0	48.37864	283.0	0.009433333333333334	-2.0006936	1.5445476	2.2133226	-5.932282	0.037998475	0.0885553	0.68140304	-0.15935606	6.359283e-10	-0.00080580375	4.4107437e-10	-0.00041336633	0.9598717	-0.3417185	0.0192441	-0.0044856416	17.292454	0.5696354	23.0	0.9179643	0.012731334	30000	2867.065539598465
6	-3.6186914	1.2223871	-1.0	-8.8	0.06542056	0.24726647	1.0	0.0	46.570095	290.0	0.008285714285714285	-1.6450572	1.429582	1.9998012	-5.5435085	0.029561713	0.09261844	0.99750817	-0.1290912	-1.3044135e-09	-0.0005827849	5.1259996e-10	-0.0003050859	0.52250636	-0.28757355	0.016974078	-0.0026877746	17.86209	0.43133545	13.0	0.8534055	0.013424622	35000	3346.815125465393
7	-3.467273	1.4884471	-0.5	-10.0	0.045454547	0.2082989	1.0	0.0	44.97273	295.0	0.007375	-1.3877132	1.2984486	1.2931072	-4.781702	0.021815948	0.07557026	0.74288404	-0.1546084	9.664112e-10	-0.00048650184	1.0192395e-09	-0.00028969505	0.5189294	-0.13174853	0.015171919	-0.004586016	18.293425	0.3084736	10.0	0.7888323	0.015197989	40000	3828.835406064987
8	-3.1058335	0.9870238	-0.8	-5.4	0.058333334	0.23437269	1.0	0.0	41.508335	302.0	0.006711111111111111	-1.297813	1.3143424	1.5777484	-4.7308135	0.01477686	0.045324676	0.34941357	-0.124639094	6.154727e-10	-0.0005598931	2.384186e-10	-0.00042591017	0.23809677	-0.13242958	0.020147536	-0.0026033614	18.601898	0.37894058	10.0	0.73721564	0.0135575505	45000	4310.260530948639
9	-3.192373	1.4726982	-1.0	-10.0	0.033898305	0.18096747	1.0	0.0	42.271187	306.0	0.00612	-1.2326337	1.2107198	1.0712614	-3.8572874	0.04104248	0.07163218	0.55080163	-0.16477108	-1.2447324e-09	-0.00050924823	-1.0490417e-09	-0.00026095577	0.55505455	-0.22015464	0.011371129	-0.002280931	18.980839	0.2582264	12.0	0.6622163	0.013387109	50000	4785.698078632355
10	-2.944	1.1385884	-0.6	-5.8	0.064	0.24475291	1.0	0.0	39.912	314.0	0.005709090909090909	-1.2347795	1.3163279	1.162702	-5.9371853	0.013163327	0.041315477	0.5015035	-0.08811504	1.4465554e-09	-0.0003551281	1.4424324e-09	-0.00087537913	0.20557158	-0.12210663	0.03677916	-0.010497125	19.239065	0.44689178	9.0	0.6126173	0.013850155	55000	5262.083251714706
11	-3.0553718	1.1943358	-1.0	-10.0	0.03305785	0.1787877	1.0	0.0	41.190083	318.0	0.0053	-0.9957621	1.1577134	1.0893669	-3.9106734	0.037528895	0.08037754	0.5741851	-0.09247586	1.00891885e-10	-0.0006725034	-5.722046e-10	-0.0003019554	0.24274252	-0.06262514	0.015939545	-0.004120512	19.685957	0.28464508	79.0	0.5629995	0.011828432	60000	5740.250380754471
12	-3.3212395	1.2797575	-0.8	-10.0	0.017699115	0.13185544	1.0	0.0	43.920353	320.0	0.004923076923076923	-1.2741137	1.2610111	1.1576086	-4.2675033	0.029920558	0.061498843	0.44761553	-0.07918937	-3.8658557e-10	-0.00035963696	2.3841857e-11	-0.00013196401	0.31995314	-0.083900794	0.0114996685	-0.001433095	19.970602	0.10753822	79.0	0.49022168	0.006047448	65000	6224.85792350769
13	-3.012295	1.1552857	-0.8	-10.0	0.032786883	0.17807835	1.0	0.0	40.85246	324.0	0.004628571428571429	-1.1348454	1.2786713	1.87274	-4.323042	0.020855758	0.06941329	0.62789035	-0.31113228	-9.511911e-10	-0.00052233867	-8.9406965e-10	-0.00033620727	0.29092494	-0.06925921	0.017770914	-0.0023771916	20.07814	0.20417213	79.0	0.46217188	0.005863762	70000	6706.843277692795
