Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-2.8100002	2.5654933	-0.3	-10.0	0.2642857	0.44095215	1.0	0.0	35.564285	37.0	0.0074	-0.45643178	0.22754316	0.083727844	-1.2306851	-0.0756317	0.30389223	0.55629766	-0.75205064	-8.041209e-09	-0.0032104969	-1.1038781e-08	-0.004021801	4.8725977	-2.473776	0.21242376	-0.14959906	10.0	2.0014944	6.0	0.9935339	0.014408841	5000	540.5854811668396
1	-3.411017	2.3798156	-0.4	-10.0	0.23728813	0.4254203	1.0	0.0	42.22034	65.0	0.0065	-1.8422039	0.9355947	1.5520751	-3.9782171	0.10784809	0.108363405	0.8125632	-0.08241535	-9.390205e-10	-0.0015614786	-1.0967255e-09	-0.0012170383	2.230886	-0.48359632	0.06680298	-0.009748988	12.001494	1.8961754	10.0	1.0094069	0.0142496275	10000	1084.9383702278137
2	-2.8218977	1.6801857	-0.3	-10.0	0.24817519	0.431954	1.0	0.0	36.40876	99.0	0.0066	-1.6160209	1.236728	2.0961034	-4.3616695	0.10610954	0.12085997	0.93118715	-0.08562874	2.2744377e-09	-0.0016587031	1.1205673e-09	-0.0036577964	1.2164849	-0.5065808	0.059966527	-0.008401062	13.89767	1.9621906	5.0	0.98131853	0.018466905	15000	1632.7724888324738
3	-3.6663547	2.033318	-0.3	-10.0	0.12149533	0.326702	1.0	0.0	46.429905	112.0	0.0056	-1.2813448	1.1692334	1.5055991	-3.8866913	0.06067041	0.1257447	0.81049716	-0.17322175	-7.752334e-11	-0.0009467525	-1.5616417e-09	-0.000112720176	1.0309734	-0.2264179	0.03851414	-0.008815588	15.85986	1.2322054	16.0	0.95176643	0.0149775455	20000	2184.5862979888916
4	-3.0031743	1.3396835	-0.5	-7.0	0.15873016	0.36542425	1.0	0.0	39.54762	132.0	0.00528	-1.5889908	1.3833736	1.929167	-6.351009	0.06960534	0.121537074	0.95803595	-0.19559377	1.4103468e-09	-0.00086944446	8.3446505e-10	-0.00097575976	0.65375686	-0.3346789	0.0560057	-0.010675292	17.092066	1.3617878	18.0	0.88826585	0.013854383	25000	2735.545691728592
5	-2.8374047	1.335901	-0.4	-10.0	0.114503816	0.3184222	1.0	0.0	38.030533	147.0	0.0049	-1.1370918	1.1774844	1.3341814	-3.7554722	0.0712096	0.112805486	0.7346297	-0.21372585	2.4764235e-09	-0.0007768849	2.7656555e-09	-0.0020425736	0.2977222	-0.07669526	0.045224726	-0.008683547	18.453854	1.1770859	8.0	0.78954726	0.01853063	30000	3288.1259343624115
6	-3.0628097	1.2100906	-0.8	-10.0	0.05785124	0.23346192	1.0	0.0	41.082645	154.0	0.0044	-1.0538248	1.2012037	1.4239107	-4.354747	0.04515114	0.092545845	0.5668936	-0.15257782	5.495184e-10	-0.0007100409	5.4836274e-10	-0.00075226073	0.29223993	-0.056993842	0.02742431	-0.007808171	19.63094	0.67393494	18.0	0.76022285	0.012826628	35000	3835.7320761680603
7	-3.2155173	1.5113709	-0.5	-10.0	0.04310345	0.20308998	1.0	0.0	42.681034	159.0	0.003975	-1.1793604	1.2689829	1.4342141	-6.431645	0.05565675	0.12790269	1.3130839	-0.16481748	-1.3417699e-09	-0.0010470848	-7.0333483e-10	-0.0011577408	0.4541007	-0.11167744	0.02643789	-0.0069882963	20.304874	0.44115257	73.0	0.6652673	0.012279213	40000	4384.6465747356415
8	-2.9248004	1.3271115	-0.8	-10.0	0.04	0.19595918	1.0	0.0	39.808	164.0	0.0036444444444444445	-1.1606355	1.3121743	1.7718959	-5.4621553	0.032139644	0.07449953	0.62386197	-0.23256871	1.2385847e-09	-0.0003259179	1.013279e-09	-0.0009148825	0.35334203	-0.08153069	0.01955944	-0.0028986055	20.746027	0.39768028	9.0	0.6834506	0.014768982	45000	4928.684935569763
9	-3.0445378	1.2980074	-0.7	-10.0	0.0	0.0	0.0	0.0	41.35294	164.0	0.00328	-1.1697336	1.339527	1.6536652	-4.910003	0.03210934	0.07274073	0.3965743	-0.1018391	2.9500286e-10	-0.0007472883	-2.503395e-10	-0.00041248123	0.34358978	-0.09912035	0.004266206	-0.0033138576	21.143707	-0.030620575	79.0	0.6687715	0.007325325	50000	5481.442165374756
