Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.336502	1.0411122	-0.3	-7.3	0.53231937	0.49895436	1.0	0.0	18.927757	140.0	0.028	-0.11121298	0.4016681	0.8227	-1.0515018	0.41052422	0.16088833	0.8596957	-0.106076404	2.895702e-09	-0.0015564339	1.5258789e-09	-0.003360977	1.2864559	-0.77139086	0.2708356	-0.12755126	10.0	2.000965	4.0	1.0844665	0.017088214	5000	431.94143056869507
1	-1.7376745	1.3932476	-0.3	-6.9	0.4883721	0.4998648	1.0	0.0	23.15814	245.0	0.0245	-0.68704385	0.6335003	0.93455386	-2.8756044	0.27468988	0.23680946	1.3125339	-0.33408144	5.9128693e-09	-0.0024938984	7.1048736e-09	-0.006309015	0.91444355	-0.31021482	0.12750512	-0.014446676	12.000965	1.9202299	5.0	1.0842881	0.024288332	10000	906.2168197631836
2	-2.967164	2.3572934	-0.3	-10.0	0.30597016	0.46081707	1.0	0.0	37.22388	286.0	0.019066666666666666	-1.0130457	0.8973166	1.4323463	-3.6482027	0.13724472	0.22039369	0.90784436	-0.3502233	2.366427e-09	-0.0007104315	9.059906e-10	-0.0032946253	1.7759196	-0.5831449	0.08790198	-0.025448512	13.921195	1.4410849	6.0	1.0598805	0.017788503	15000	1380.113781452179
3	-4.8685393	3.0723703	-0.3	-10.0	0.20224719	0.40167558	1.0	0.0	56.101124	304.0	0.0152	-1.7771345	1.1696353	1.5952965	-5.183771	0.09359007	0.14071822	1.254287	-0.17320381	-1.0027499e-09	-0.0013824957	-1.7881393e-09	-0.0012753778	2.741353	-0.64903545	0.03692053	-0.007783469	15.36228	1.0453568	13.0	1.0321252	0.013068725	20000	1839.168953180313
4	-4.5362635	2.5123658	-0.4	-10.0	0.0989011	0.29852918	1.0	0.0	54.912086	313.0	0.01252	-2.520199	1.4800096	2.0315855	-6.045717	0.065300986	0.10042172	0.59092104	-0.16959646	-2.3720599e-09	-0.001498806	-2.2172928e-09	-0.0009480509	1.990659	-0.57406235	0.022909805	-0.0057987887	16.407637	0.59661674	72.0	0.99409413	0.012233302	25000	2305.6654455661774
5	-4.5833335	2.4100368	-0.6	-10.0	0.1	0.29999998	1.0	0.0	55.122223	322.0	0.010733333333333333	-2.250843	1.5974638	2.5552473	-7.754453	0.029675428	0.06699346	0.78144175	-0.08836747	-1.8143479e-09	-0.0011683484	-6.198883e-10	-0.00087236095	1.429604	-0.4493482	0.021185175	-0.0036545843	17.004253	0.53534317	71.0	0.97179514	0.012066928	30000	2777.9906842708588
6	-3.9582524	2.35044	-0.4	-10.0	0.16504854	0.37122428	1.0	0.0	48.339806	339.0	0.009685714285714285	-2.0910368	1.5953453	2.4919913	-5.9307575	0.037074495	0.07486555	0.938069	-0.12308196	6.6642575e-10	-0.0010021488	1.335144e-09	-0.0021307978	1.2233263	-0.16664386	0.038145613	-0.0062055327	17.539597	0.92048645	6.0	0.9301048	0.021140741	35000	3246.4206891059875
7	-4.1354165	2.000728	-0.4	-10.0	0.052083332	0.22219509	1.0	0.0	51.552082	344.0	0.0086	-1.932604	1.6793083	2.9445047	-5.9307966	0.03604492	0.07760003	0.9041505	-0.20886004	-6.299577e-11	-0.0012957648	5.4836274e-10	-0.0013012178	1.0118638	-0.1869995	0.01955556	-0.005059218	18.460083	0.4609928	77.0	0.88006854	0.012263049	40000	3715.1164977550507
8	-3.570909	1.8569449	-0.3	-10.0	0.16363636	0.3699453	1.0	0.0	45.109093	362.0	0.008044444444444444	-1.6883965	1.4853716	2.2530954	-5.231875	0.029448688	0.05972547	0.37867355	-0.09312044	-3.724475e-10	-0.0006691656	-1.2993813e-09	-0.0015225861	0.85368186	-0.195988	0.04318755	-0.010115661	18.921076	0.96570015	9.0	0.8609371	0.014690629	45000	4183.300041675568
9	-4.301064	2.0218222	-0.5	-10.0	0.07446808	0.26253113	1.0	0.0	52.723404	369.0	0.00738	-1.6677465	1.4598879	1.7620534	-6.059627	0.037714634	0.08332299	0.53516257	-0.21177153	-8.995622e-10	-0.00036267613	-1.9669533e-10	-0.0012664205	0.9781086	-0.19800478	0.02592636	-0.0037897862	19.886776	0.6576271	9.0	0.7897916	0.015045101	50000	4649.876258850098
