Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.8101941	1.5462271	-0.3	-8.8	0.47572815	0.49941048	1.0	0.0	24.18932	98.0	0.0196	-0.21678533	0.17375909	0.4280878	-0.64435196	0.81999725	0.3056573	1.2684147	0.059299286	-9.913878e-09	-0.0011710344	-8.559227e-09	-0.0007643597	2.3990116	-1.3507677	0.5155037	-0.40460643	10.0	1.9989624	4.0	1.0749346	0.01899926	5000	487.59666657447815
1	-1.398099	1.1163647	-0.3	-7.6	0.5741445	0.49447203	1.0	0.0	18.958176	249.0	0.0249	-0.84555745	0.68640924	1.0543395	-2.859607	0.33481145	0.2581948	1.0396843	-0.27597132	-4.276871e-09	-0.0031013906	-4.172325e-09	-0.0068305605	0.78589785	-0.21172476	0.17429523	-0.020794556	11.998962	2.1732368	6.0	1.0763675	0.026562393	10000	987.6384110450745
2	-2.8347826	2.3130271	-0.4	-10.0	0.3188406	0.46602708	1.0	0.0	35.760868	293.0	0.019533333333333333	-0.9689992	0.74244165	1.1198457	-3.2941532	0.2086395	0.20613635	0.87950516	-0.26112878	6.0776233e-09	-0.0011108284	5.4836273e-09	-0.0043874453	2.1099858	-0.73148024	0.07792026	-0.01681681	14.172199	1.5064516	6.0	1.0747948	0.021667518	15000	1476.2252509593964
3	-4.584946	3.1167927	-0.4	-10.0	0.21505377	0.41085964	1.0	0.0	53.064518	313.0	0.01565	-1.6750059	1.20057	1.6723133	-4.8178816	0.06318853	0.15562764	0.9798669	-0.30759558	-1.5897765e-09	-0.0013822223	-1.1771918e-09	-0.0034178942	2.9601488	-0.8050909	0.037833635	-0.0061430633	15.678651	1.0675421	6.0	1.0405346	0.018353287	20000	1962.3956191539764
4	-5.9837837	3.1811109	-0.5	-10.0	0.10810811	0.3105169	1.0	0.0	66.824326	321.0	0.01284	-2.5905356	1.3636144	1.3468354	-5.8713403	0.041234106	0.08972805	0.6006694	-0.14162832	-2.3722615e-09	-0.0009914978	-8.225441e-10	-0.00035932325	2.6322393	-0.54716563	0.022311652	-0.0032588076	16.746193	0.63840485	16.0	0.9957925	0.013934207	25000	2434.565269947052
5	-5.2109756	2.726608	-0.7	-10.0	0.17073171	0.37627432	1.0	0.0	59.890244	335.0	0.011166666666666667	-3.148437	1.675034	2.8046877	-7.633247	0.04275538	0.06007034	0.49846438	-0.07657762	-3.6830247e-10	-0.00051544385	3.0994415e-10	0.00028213926	2.371157	-0.41860068	0.03813087	-0.0051468015	17.384598	0.85025024	11.0	0.9757178	0.013656305	30000	2913.4894740581512
6	-3.773148	2.43826	-0.5	-10.0	0.23148148	0.42177927	1.0	0.0	45.87963	360.0	0.010285714285714285	-2.5666206	1.5314682	3.2143521	-6.4356685	0.086156376	0.10260586	0.58971256	-0.1079083	-1.6689393e-09	-0.0012075276	-1.2636184e-09	-0.002262746	2.3036273	-0.5665095	0.055710785	-0.009343922	18.234848	1.2763977	9.0	0.9995186	0.019043414	35000	3402.050813436508
7	-4.639326	2.3605664	-0.4	-10.0	0.06741573	0.2507406	1.0	0.0	56.033707	366.0	0.00915	-2.0246727	1.6487912	3.7956774	-6.183078	0.058423933	0.11289599	0.8061406	-0.21317053	2.4879026e-09	-0.00077109394	3.3974648e-09	-0.0010624679	1.4014442	-0.25188613	0.027334796	-0.010426629	19.511246	0.60666466	13.0	0.9370772	0.012561167	40000	3883.540590286255
8	-4.8639536	2.4462078	-0.6	-10.0	0.046511628	0.21059036	1.0	0.0	57.976746	370.0	0.008222222222222223	-2.2908833	1.6426739	2.526912	-5.7173753	0.030543847	0.07191947	0.75592744	-0.21876161	-3.811934e-11	-0.0010449378	4.7683715e-11	-0.0006489501	1.3751035	-0.32199764	0.01281633	-0.004593581	20.11791	0.28923225	28.0	0.84960353	0.012587579	45000	4368.732579469681
9	-3.8509614	2.1521008	-0.4	-10.0	0.115384616	0.31948552	1.0	0.0	48.028847	382.0	0.00764	-2.118046	1.6740319	2.1423924	-6.119009	0.023997396	0.042316433	0.23933494	-0.07598639	-1.5764304e-09	-0.00089648674	-1.4901161e-09	-0.00084428827	1.3763498	-0.37507403	0.0326588	-0.003189288	20.407143	0.6725273	34.0	0.85397655	0.012264938	50000	4859.748188257217
10	-4.3042107	2.3769028	-0.5	-10.0	0.11578947	0.31997228	1.0	0.0	52.073685	393.0	0.007145454545454545	-2.0432189	1.5822172	1.761483	-6.136604	0.0502075	0.055816393	0.40695822	-0.10526193	1.3585945e-09	-0.000347307	1.5497208e-09	-0.0010977981	1.5197827	-0.21833158	0.040163893	-0.0059463717	21.07967	0.8265457	9.0	0.79139024	0.015198865	55000	5347.63142323494
11	-4.018	2.024173	-0.7	-10.0	0.06	0.23748685	1.0	0.0	49.97	399.0	0.00665	-1.7062902	1.6506664	2.6697059	-6.0809145	0.051760655	0.082970634	0.48607698	-0.10015967	-4.6216767e-10	-0.0010247054	-5.00679e-10	-0.0013965841	1.0644528	-0.19586807	0.01868949	-0.004837553	21.906216	0.52007866	79.0	0.7562508	0.010578203	60000	5832.23082447052
12	-4.6522727	1.9868875	-1.8	-10.0	0.045454547	0.20829889	1.0	0.0	56.397728	403.0	0.0062	-1.9298644	1.5602994	1.3408848	-6.433945	0.017460294	0.041864607	0.3639331	-0.07792567	-1.6553251e-09	-0.00082249846	-2.0608306e-09	-0.00087154435	1.3352666	-0.17174745	0.023473946	-0.004990708	22.426294	0.33627892	79.0	0.75250757	0.008224207	65000	6321.058213472366
13	-4.729884	2.3700776	-0.4	-10.0	0.011494253	0.106593326	1.0	0.0	57.03448	404.0	0.0057714285714285714	-2.426054	1.9228823	1.7369559	-7.9783883	0.03431791	0.061082676	0.39519978	-0.10918117	4.622565e-10	-0.0006122963	1.7881394e-10	-0.0005643443	1.6915356	-0.43222368	0.0062813503	-0.003148141	22.762573	0.08059502	79.0	0.7600802	0.009606725	70000	6806.360633611679
14	-4.2189474	2.0516129	-0.4	-10.0	0.021052632	0.14355981	1.0	0.0	52.37895	406.0	0.005413333333333333	-1.9484758	1.7544476	1.8172803	-7.214373	0.0056933495	0.027957283	0.23423535	-0.05323889	9.445669e-10	-0.00053993234	8.9406965e-10	-0.00035336494	1.273012	-0.34031087	0.010129191	-0.0014070477	22.843168	0.07971573	79.0	0.74931896	0.00820235	75000	7291.216833114624
15	-4.6795454	2.403887	-0.9	-10.0	0.03409091	0.18146272	1.0	0.0	56.170456	409.0	0.0051125	-2.3691769	1.9646487	2.3989377	-8.16281	0.018589634	0.032053642	0.28977886	-0.072802946	8.363739e-11	-0.000711085	1.7881394e-10	-0.00070593663	1.6255928	-0.33437693	0.015718631	-0.0028133607	22.922884	0.20864487	56.0	0.7069606	0.012334107	80000	7777.414002656937
16	-4.3150535	1.9512857	-1.6	-10.0	0.043010753	0.2028813	1.0	0.0	53.322582	413.0	0.004858823529411764	-1.9343289	1.7113911	1.5690612	-6.6678047	0.031214373	0.06218006	0.38060397	-0.12559436	1.1553163e-09	-0.001106047	1.0609627e-09	-0.0014407379	1.1899154	-0.3147201	0.016611394	-0.002212572	23.131529	0.32229996	25.0	0.71952266	0.012859541	85000	8255.756236076355
17	-4.6170454	2.0886176	-1.5	-10.0	0.022727273	0.1490327	1.0	0.0	56.420456	415.0	0.004611111111111111	-2.037804	1.8245581	2.0191593	-7.4066663	0.02929144	0.06370703	0.36490664	-0.09365036	-1.5446146e-10	-0.00069287827	-9.417533e-10	-0.00082889845	1.00619	-0.31984717	0.0107707875	-0.001122416	23.453829	0.18712616	45.0	0.73213065	0.012269625	90000	8732.34288430214
18	-5.0814815	2.4756649	-1.5	-10.0	0.0	0.0	0.0	0.0	60.728394	415.0	0.004368421052631579	-2.1591198	1.8061191	1.2456849	-8.164727	0.021133715	0.047195226	0.28693223	-0.14317644	9.287115e-10	-0.00059127936	3.427267e-10	-0.00014273578	1.3450093	-0.37424898	0.0019391984	-0.0012889751	23.640955	-0.07445717	79.0	0.7372668	0.008320347	95000	9211.308931827545
19	-4.431868	2.145472	-0.3	-10.0	0.032967035	0.17855029	1.0	0.0	54.472527	418.0	0.00418	-2.4421613	2.0176752	2.6531138	-8.965724	0.0046502342	0.021532381	0.14470957	-0.045980565	-1.5446963e-09	-0.00066877215	-6.7949296e-10	-0.00096242654	1.5979227	-1.0301845	0.014232251	-0.0030440316	23.566498	0.19054031	61.0	0.70766646	0.0121207	100000	9681.45201921463
20	-4.1208334	1.8318317	-1.5	-10.0	0.0	0.0	0.0	0.0	51.979168	418.0	0.003980952380952381	-1.7719463	1.6509292	2.1804776	-6.549657	0.01362874	0.04128244	1.0138217	-0.06266309	4.5069118e-10	-0.0004567076	3.9339065e-10	-0.00021699976	0.6455903	-0.26032078	0.0016750939	-0.0015057094	23.757038	-0.04400444	79.0	0.64791083	0.0054190652	105000	10127.279767036438
21	-4.57	2.2328084	-0.7	-10.0	0.055555556	0.22906145	1.0	0.0	55.355556	423.0	0.0038454545454545456	-1.8366641	1.620494	1.6439885	-6.7909203	0.003557367	0.02059606	0.15172566	-0.036799327	9.955864e-10	-0.0003538253	6.67572e-10	-0.0010234789	0.9300048	-0.19574904	0.026001813	-0.0052445885	23.713034	0.41736603	6.0	0.6393601	0.015338376	110000	10572.589748382568
22	-4.659091	2.3134801	-1.1	-10.0	0.0	0.0	0.0	0.0	56.715908	423.0	0.003678260869565217	-1.982104	1.7365849	1.2034243	-8.587626	0.024463495	0.051514544	0.2824996	-0.19664508	-7.9347345e-10	-0.00048640821	-1.1622906e-09	-0.00015740626	0.8892818	-0.15814525	0.0033082268	-0.0030796304	24.1304	0.014297485	79.0	0.6454461	0.0075799837	115000	11015.71807384491
23	-4.607865	2.1817024	-0.4	-10.0	0.033707865	0.18047617	1.0	0.0	55.966293	426.0	0.00355	-2.1111329	1.7312262	1.2817652	-7.1057024	-0.00054634194	0.017228395	0.14691758	-0.06555499	1.3940444e-09	-0.0008433874	1.0251999e-09	-0.0010202593	1.0811446	-0.20846242	0.020221246	-0.003582688	24.144697	0.22070885	79.0	0.6495285	0.010342273	120000	11462.631052017212
24	-4.044898	2.0934846	-0.9	-10.0	0.030612245	0.17226474	1.0	0.0	50.438774	429.0	0.003432	-1.8500974	1.629243	1.7943115	-6.9119086	0.022593148	0.06458027	0.49448925	-0.108502164	-7.7855034e-10	-0.0013371584	-9.983778e-10	-0.0016851543	1.1603281	-0.36635488	0.011139614	-0.0040555988	24.365406	0.29519463	28.0	0.62303966	0.012729503	125000	11912.77373790741
25	-4.6393256	2.5105896	-1.2	-10.0	0.0	0.0	0.0	0.0	56.157303	429.0	0.0033	-2.1633332	1.8344413	1.9741558	-8.192805	0.017871708	0.031005284	0.35972306	-0.078915685	3.1262817e-10	-0.00040460273	-2.3543834e-10	-0.0002707838	1.2492867	-0.27146226	0.0011526549	-0.00093374663	24.6606	-0.051063538	79.0	0.6428352	0.0035286304	130000	12357.507673740387
26	-4.65618	2.6143062	-0.6	-10.0	0.02247191	0.14821242	1.0	0.0	55.955055	431.0	0.003192592592592593	-2.5994966	2.1900618	1.489752	-8.496448	0.0020067822	0.021762397	0.77099544	-0.040946834	-1.1644826e-09	-0.0006463909	-1.0490417e-09	-0.00081468915	1.4404732	-0.58185524	0.010470252	-0.0014293212	24.609537	0.111413956	45.0	0.5940758	0.012832833	135000	12803.959608078003
27	-3.964	2.2636483	-0.9	-10.0	0.01	0.099498756	1.0	0.0	49.76	432.0	0.003085714285714286	-1.8489742	1.9153159	1.8292669	-7.9065847	0.014489434	0.031693663	0.1421559	-0.10771397	6.882607e-10	-0.0005591373	1.4901161e-10	-0.0005266895	0.9527377	-0.3839904	0.003679251	-0.0018125095	24.720951	0.038022995	68.0	0.63613087	0.012332315	140000	13250.345863342285
28	-4.3758245	2.2794514	-0.4	-10.0	0.0	0.0	0.0	0.0	54.153847	432.0	0.0029793103448275864	-2.0513587	1.8157127	1.8184943	-7.1204295	0.007545253	0.034323886	0.57212824	-0.055748243	-1.280614e-11	-0.00064832356	-5.6028365e-10	-0.00056714716	1.3293451	-0.24684751	0.0012253092	-0.0011325204	24.758974	-0.12563133	79.0	0.59536034	0.0076150545	145000	13691.692190408707
29	-4.2180853	2.2559125	-0.7	-10.0	0.010638298	0.10259203	1.0	0.0	52.595745	433.0	0.0028866666666666667	-2.1696472	1.8583628	1.5608989	-7.6619925	-0.0011446903	0.010419256	0.08355021	-0.050270036	-1.3037143e-11	-0.00088119606	-2.2649765e-10	-0.00085030665	0.93976027	-0.4481567	0.0034124146	-0.0015203087	24.633343	-0.029691696	53.0	0.5978811	0.012854904	150000	14135.535362482071
30	-4.2319145	1.8714662	-0.3	-10.0	0.010638298	0.102592036	1.0	0.0	52.851063	434.0	0.0028	-2.017756	1.8992088	1.7481115	-8.476461	0.0026604077	0.027283484	0.42925763	-0.059114084	2.5240343e-10	-0.0007292517	3.5762787e-10	-0.0007949814	0.7738809	-0.2428273	0.00674187	-0.0011518649	24.603651	0.011972427	79.0	0.59618175	0.011446372	155000	14582.006825447083
31	-4.170526	1.764377	-1.3	-10.0	0.010526316	0.10205642	1.0	0.0	52.357895	435.0	0.00271875	-1.851386	2.1384137	2.0550578	-11.508755	0.0081555955	0.021070533	0.12894751	-0.08413751	8.8207674e-10	-0.0006367527	8.404255e-10	-0.00046271214	0.70472896	-0.30890098	0.0065235016	-0.00082083046	24.615623	-0.0011444092	79.0	0.56018007	0.010543885	160000	15028.436115026474
32	-4.0326533	2.0634713	-1.0	-10.0	0.010204081	0.10049855	1.0	0.0	50.877552	436.0	0.0026424242424242426	-1.8146539	1.8338301	1.9702446	-9.057855	0.0076173507	0.022916978	0.12797894	-0.052222814	-4.9833476e-10	-0.00040749818	2.3841857e-11	-0.00018689584	0.75390047	-0.18095183	0.0023126227	-0.0005871863	24.61448	-0.010450363	79.0	0.6222187	0.006044577	165000	15473.704458236694
33	-4.0632653	2.1775002	-0.8	-10.0	0.010204081	0.10049855	1.0	0.0	50.959183	437.0	0.0025705882352941175	-1.7281075	1.6612338	2.03519	-8.60348	0.0021068633	0.012732882	0.09808624	-0.051573254	1.4434476e-10	-0.00052946055	-5.1259996e-10	-0.0002390063	0.581705	-0.13642293	0.0084840525	-0.00090899924	24.604029	-0.018392563	79.0	0.5993847	0.0085265795	170000	15918.946373939514
34	-3.9777772	2.1277177	-1.1	-10.0	0.02020202	0.14069079	1.0	0.0	50.22222	439.0	0.0025085714285714286	-1.8579867	1.7388027	1.9435705	-9.348094	0.009420796	0.023891665	0.095930934	-0.097273	6.898436e-10	-0.0005828292	5.00679e-10	-0.0005731083	0.90975624	-0.2907164	0.004692421	-0.0009947463	24.585636	0.143404	35.0	0.5993004	0.013144553	175000	16362.842199325562
35	-4.476667	2.1015365	-1.3	-10.0	0.033333335	0.17950548	1.0	0.0	55.033333	442.0	0.0024555555555555554	-1.9080813	1.7170111	2.426779	-7.380784	0.011252817	0.02761183	0.23830916	-0.04952085	3.7723602e-11	-0.00085212063	-2.384186e-10	-0.0009976373	0.6478152	-0.28071517	0.01834603	-0.0039147073	24.72904	0.38554764	60.0	0.54315645	0.01221472	180000	16808.70782828331
36	-3.9790003	2.0283637	-0.8	-10.0	0.04	0.1959592	1.0	0.0	49.91	446.0	0.0024108108108108106	-1.7679434	1.7180651	1.386664	-9.023307	0.023461288	0.064752355	0.9669021	-0.064759314	1.8066545e-13	-0.0009459106	-1.66893e-10	-0.0012881699	0.8283955	-0.43208385	0.012641588	-0.0019812249	25.114588	0.55631065	30.0	0.5418611	0.013456302	185000	17255.4481883049
37	-3.8137252	1.8160524	-1.3	-10.0	0.029411765	0.16895771	1.0	0.0	48.705883	449.0	0.002363157894736842	-1.5255942	1.533629	2.1766398	-7.1481786	0.023284402	0.04572766	0.63933605	-0.17102347	-1.5600515e-09	-0.0010077901	-9.2983243e-10	-0.0013156958	0.58411086	-0.21699956	0.012915091	-0.003756105	25.670898	0.43751526	28.0	0.55910486	0.012742533	190000	17700.15948367119
38	-3.7403846	2.064653	-1.0	-10.0	0.057692308	0.23316067	1.0	0.0	47.451923	455.0	0.0023333333333333335	-1.4951893	1.4718319	1.9649704	-5.561667	0.01613964	0.062016875	0.74264646	-0.11217642	1.2767057e-10	-0.0005438162	3.576279e-11	-0.00081012724	0.59174657	-0.18185937	0.012546559	-0.0059044347	26.108414	0.8422222	7.0	0.53647304	0.016940232	195000	18146.79001569748
39	-4.0639176	2.0220017	-0.7	-10.0	0.020618556	0.14210358	1.0	0.0	51.185566	457.0	0.002285	-1.779027	1.640653	1.3649582	-6.27568	0.013223056	0.0892547	1.0941142	-0.067110494	8.043451e-11	-0.00047626658	-1.4305115e-10	-0.00046968565	0.45381886	-0.0811927	0.0054723974	-0.0021809065	26.950636	0.3864193	79.0	0.49165487	0.006369495	200000	18590.848319530487
40	-4.006061	2.3165114	-1.2	-10.0	0.01010101	0.0999949	1.0	0.0	50.17172	458.0	0.0022341463414634146	-1.6061705	1.5682656	1.2067175	-6.7718973	0.004081376	0.037387386	0.6102029	-0.06163788	9.052322e-10	-0.00061591883	4.7087667e-10	-0.00076879835	0.93194044	-0.27752382	0.0035936038	-0.0016540281	27.337055	0.05399704	7.0	0.48318732	0.016795907	205000	19038.18541789055
41	-4.091837	2.142413	-1.3	-10.0	0.030612245	0.17226472	1.0	0.0	51.02041	461.0	0.002195238095238095	-1.8990054	1.6479661	2.2029552	-6.193462	0.0017469955	0.025209416	0.50617516	-0.13835397	-3.5673295e-10	-0.001378958	-3.993511e-10	-0.0016390835	1.1342728	-0.46233988	0.011814122	-0.0064317253	27.391052	0.35140038	5.0	0.48857412	0.017491857	210000	19482.553132772446
