Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.3110701	0.8642698	-0.3	-5.0	0.55719554	0.49671787	1.0	0.0	18.387453	151.0	0.0302	0.119144924	0.29617313	0.8102337	-0.5606724	0.418895	0.12344641	0.7598453	0.09469474	-4.4562602e-09	-0.0019463053	-1.8119812e-09	-0.00447474	1.3577328	-0.9313836	0.258167	-0.09662977	10.0	2.0009518	4.0	1.0846112	0.023161171	5000	386.29937195777893
1	-2.2280703	1.7244124	-0.3	-7.9	0.3859649	0.48682237	1.0	0.0	29.099415	217.0	0.0217	-0.72779346	0.49611342	0.7060182	-2.011989	0.30322456	0.22952923	1.138067	-0.19056575	5.1277778e-09	-0.0014595827	4.36306e-09	-0.004574961	1.4341859	-0.53353316	0.12773605	-0.029396214	12.000952	1.6576166	5.0	1.0896728	0.018011384	10000	802.3696217536926
2	-3.848649	3.0591133	-0.4	-10.0	0.3153153	0.46464136	1.0	0.0	45.027027	252.0	0.0168	-1.1824282	0.8732389	1.3788886	-3.6919239	0.124854654	0.17948037	1.1105683	-0.10679709	2.0615876e-09	-0.0021862239	2.4080276e-09	-0.0047706617	3.3105266	-1.2273364	0.072213285	-0.009796962	13.658568	1.4629936	5.0	1.0648596	0.020422969	15000	1212.6546277999878
3	-5.291463	3.049998	-0.4	-10.0	0.20731707	0.40538466	1.0	0.0	60.42683	269.0	0.01345	-2.367444	1.3419849	1.4066808	-6.0283303	0.07667495	0.11672997	0.59802085	-0.09490802	-1.7530827e-10	-0.00037686646	2.861023e-10	-0.0021120454	2.164379	-0.29020607	0.042644896	-0.004335407	15.121562	1.124856	7.0	1.0218829	0.016859155	20000	1620.388720035553
4	-6.418841	2.7793376	-0.6	-10.0	0.057971016	0.23368864	1.0	0.0	72.159424	273.0	0.01092	-2.6837807	1.482115	1.1125932	-6.2986717	0.05240005	0.08903099	0.7142992	-0.12251213	1.5144552e-09	-0.00074961083	-4.7683715e-11	-0.00022534869	2.0199187	-0.25260007	0.018939335	-0.0074361805	16.246418	0.45341682	79.0	0.9554503	0.005703085	25000	2029.3252069950104
5	-5.906849	2.468116	-0.9	-10.0	0.05479452	0.22757874	1.0	0.0	67.9589	277.0	0.009233333333333333	-2.823679	1.5403303	3.328146	-6.551807	0.022237564	0.03760391	0.38216645	-0.05551397	1.5840338e-09	-0.00050862704	1.7702579e-09	0.0001606851	1.5562257	-0.20711374	0.020813897	-0.002182398	16.699835	0.29107285	9.0	0.9464934	0.014755914	30000	2438.7964584827423
6	-4.4847827	2.5779557	-0.3	-10.0	0.13043478	0.33678117	1.0	0.0	54.054348	289.0	0.008257142857142857	-2.660325	1.6041269	2.4856677	-6.421409	0.027348455	0.032268565	0.17110494	-0.13611071	3.09125e-10	-0.0006283416	-6.9141387e-10	0.00048172587	1.5098784	-0.49058998	0.032340664	-0.0046454743	16.990908	0.71980476	8.0	0.9714414	0.016474865	35000	2853.2667083740234
7	-3.9134614	2.3694797	-0.3	-10.0	0.17307693	0.37831375	1.0	0.0	47.701923	307.0	0.007675	-2.306	1.4463663	2.2833574	-5.7272573	0.06269905	0.07821466	0.42932245	-0.15525031	1.7057782e-09	-0.00092566793	1.2636184e-09	-0.0019861658	1.4503186	-0.42778766	0.051157586	-0.0070171505	17.710712	1.1290264	13.0	1.0039654	0.016851025	40000	3263.8377425670624
8	-4.916471	2.416553	-0.4	-10.0	0.08235294	0.2749017	1.0	0.0	58.482353	314.0	0.006977777777777778	-1.7541932	1.425779	2.075692	-5.2886653	0.053565186	0.08099776	0.50664806	-0.131683	2.9381493e-09	-0.0004595561	1.0490417e-09	-0.00021189012	1.0916715	-0.2020495	0.022500185	-0.005156575	18.839739	0.7173023	18.0	0.936523	0.0137461545	45000	3680.8120486736298
9	-3.6697247	2.0305243	-0.4	-10.0	0.19266056	0.39438874	1.0	0.0	45.678898	335.0	0.0067	-2.1750698	1.5219675	3.1694908	-5.5312114	0.03427369	0.057762746	0.39186743	-0.19498633	9.0728265e-11	-0.0013322061	9.536743e-11	-0.0026314107	1.2030535	-0.4230311	0.05975287	-0.0085852	19.557041	1.2947464	7.0	0.93857664	0.019209709	50000	4136.948240280151
