Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.8299019	1.5272166	-0.3	-8.2	0.47549018	0.4993989	1.0	0.0	24.44608	97.0	0.0194	-0.27117023	0.10854123	0.21322583	-0.61083454	0.8277996	0.32183936	1.2398568	0.08212693	-4.915758e-09	-0.0009468864	-8.153916e-09	-0.0010087705	2.2254453	-1.1963154	0.53321356	-0.40542638	10.0	1.9991455	4.0	1.0915568	0.015074594	5000	498.72748017311096
1	-1.6056522	1.213444	-0.3	-7.9	0.50869566	0.4999244	1.0	0.0	21.7	214.0	0.0214	-0.88566154	0.6936574	1.4449898	-2.8973227	0.30974364	0.18921489	0.79970264	-0.14984217	-9.0965885e-10	-0.001300258	-9.059906e-10	-0.004473377	0.8494125	-0.23772031	0.16490366	-0.013753608	11.9991455	2.0643663	8.0	1.0696981	0.020159472	10000	1011.7942221164703
2	-3.0809162	2.692543	-0.3	-10.0	0.35114503	0.47732818	1.0	0.0	37.694656	260.0	0.017333333333333333	-0.9580081	0.721281	1.015533	-3.181539	0.20895693	0.20834023	0.90322304	-0.13223675	2.8845357e-09	-0.0011829605	9.2983243e-10	-0.0042736162	2.9063115	-1.2340838	0.0953238	-0.022387192	14.063512	1.6419964	6.0	1.0581002	0.020693883	15000	1517.2027864456177
3	-4.6586957	3.1267483	-0.4	-10.0	0.27173913	0.44485617	1.0	0.0	53.641304	285.0	0.01425	-2.0117757	1.1708755	1.6067296	-5.017117	0.0720607	0.14918949	1.2447032	-0.1824141	1.1970817e-10	-0.0012859518	3.33786e-10	-0.0033625143	2.6056118	-0.4516251	0.048673403	-0.0056693666	15.705508	1.3419294	5.0	1.0359695	0.0178569	20000	2020.3572719097137
4	-6.7417912	3.0318286	-1.0	-10.0	0.104477614	0.30587915	1.0	0.0	73.82089	292.0	0.01168	-2.5935597	1.3925835	2.4723623	-6.366075	0.051545598	0.095506065	0.5458695	-0.09467697	-1.0746024e-10	-0.0003430014	1.335144e-09	-0.0013543045	2.4154668	-0.6911683	0.01691073	-0.0046328157	17.047438	0.69670105	7.0	1.0074273	0.015330272	25000	2509.6810216903687
5	-7.532258	3.143902	-0.9	-10.0	0.06451613	0.2456701	1.0	0.0	79.935486	296.0	0.009866666666666666	-3.5627882	1.6249093	1.3067397	-7.162507	0.014527854	0.049387563	0.4220886	-0.07039383	7.233919e-10	-0.0011229928	1.192093e-10	-0.000303063	2.2090023	-0.30995739	0.00869875	-0.001468115	17.744139	0.36313248	79.0	0.9740955	0.009575633	30000	3002.139846801758
6	-7.4258065	2.6891618	-0.4	-10.0	0.048387095	0.21458282	1.0	0.0	80.645164	299.0	0.008542857142857144	-3.864268	1.6598951	1.642496	-8.190416	0.012877615	0.04290537	0.31362835	-0.070576526	-2.1584214e-11	-0.000587283	2.1159649e-10	3.9383398e-05	2.6817093	-0.22498631	0.012561002	-0.0013348451	18.107271	0.27031708	9.0	0.9693371	0.016528487	35000	3495.527636051178
7	-5.5168834	2.5730069	-0.7	-10.0	0.09090909	0.2874798	1.0	0.0	64.02597	306.0	0.00765	-3.650267	1.6550444	1.2060846	-8.922917	0.028063666	0.037395965	0.32040584	-0.07927823	1.2224642e-09	-0.00033414955	1.7404557e-09	0.00015479473	3.3218906	-1.470105	0.024508439	-0.0050647985	18.377588	0.50141144	7.0	0.9978709	0.016865812	40000	3984.7820744514465
8	-4.4585104	2.7962897	-0.4	-10.0	0.17021276	0.37581965	1.0	0.0	53.12766	322.0	0.007155555555555556	-2.6505492	1.451731	2.7199554	-6.217598	0.029937942	0.06705233	0.623437	-0.13977219	-4.096796e-09	-0.0011005234	-3.5762786e-09	-0.0022066147	1.9247575	-0.38130355	0.038077906	-0.008284366	18.879	1.0584869	8.0	1.0320474	0.021486431	45000	4492.228598356247
9	-4.883908	2.5598075	-0.3	-10.0	0.1954023	0.3965101	1.0	0.0	57.057472	339.0	0.00678	-2.3637474	1.5854208	2.4103103	-6.309447	0.04086362	0.082054615	0.4722119	-0.15056998	-1.2814111e-09	-0.00094259036	-1.0251999e-09	-0.0018612824	1.2168372	-0.17475569	0.056138728	-0.008881453	19.937487	1.3868618	20.0	0.98135734	0.01389867	50000	4992.8024644851685
10	-5.4141016	2.427393	-0.9	-10.0	0.07692308	0.26646933	1.0	0.0	63.589745	345.0	0.006272727272727273	-2.1097856	1.5029587	3.417572	-5.45983	0.07034832	0.10090326	0.79970413	-0.40818226	2.4261237e-09	-0.0014381267	7.867813e-10	-0.0018319581	1.2875115	-0.24674463	0.026930703	-0.0067890156	21.324348	0.74936104	57.0	0.9743429	0.012303085	55000	5496.093377113342
11	-5.1695123	2.324928	-0.8	-10.0	0.09756097	0.29672012	1.0	0.0	60.951218	353.0	0.005883333333333333	-2.317636	1.5489478	1.6893677	-6.6883845	0.04019961	0.04818325	0.29843166	-0.07411619	1.5674341e-09	-0.0012790783	1.9192696e-09	-0.0017708696	1.3377173	-0.10897827	0.029633654	-0.0023536012	22.07371	0.7112045	47.0	0.96698105	0.0126023805	60000	5992.929846763611
12	-5.1148148	2.3638277	-0.5	-10.0	0.024691358	0.15518278	1.0	0.0	61.333332	355.0	0.005461538461538461	-2.121588	1.5480131	1.9629468	-5.8066883	0.03447747	0.06137334	0.54268867	-0.23150551	9.813326e-10	-0.00034823475	3.33786e-10	-0.00016244026	0.8520168	-0.06939423	0.0149177825	-0.0036356235	22.784914	0.27215385	8.0	0.96155745	0.01561571	65000	6490.383445978165
13	-4.1222224	2.3472552	-0.3	-10.0	0.14141414	0.34844822	1.0	0.0	50.444443	369.0	0.005271428571428571	-2.2434711	1.5602757	1.9527373	-6.0129285	0.02721283	0.04527338	0.34627718	-0.26494887	6.7700294e-12	-0.00069114234	1.4960766e-09	-0.0015020005	1.0641422	-0.2584716	0.049581796	-0.006934043	23.057068	0.98028946	9.0	0.9924451	0.016876282	70000	6989.296438217163
14	-4.8494115	2.2939625	-0.4	-10.0	0.05882353	0.23529413	1.0	0.0	58.458824	374.0	0.004986666666666667	-1.8578914	1.5237238	2.4576635	-5.5089445	0.057856377	0.085658	0.45578712	-0.16512102	-1.9212507e-09	-0.00071966177	-1.013279e-09	-0.0005836393	0.7704901	-0.13383335	0.022912607	-0.0045410544	24.037357	0.6324043	79.0	0.96002424	0.00821343	75000	7491.404401302338
15	-4.503297	2.1470885	-0.3	-10.0	0.06593407	0.24816681	1.0	0.0	54.824177	380.0	0.00475	-2.0238109	1.5386097	1.8726885	-5.617563	0.019475326	0.04689417	0.29732645	-0.0891865	-2.5922005e-09	-0.00088958815	-2.0980835e-09	-0.00086266024	0.69662565	-0.122746706	0.02643869	-0.0027905796	24.669762	0.54385567	56.0	0.96829414	0.012121389	80000	8000.527836561203
16	-4.7310348	2.2251081	-0.4	-10.0	0.03448276	0.18246558	1.0	0.0	57.42529	383.0	0.004505882352941176	-2.0146642	1.4561408	2.1195624	-5.865838	0.056895617	0.074788265	0.4674735	-0.100395635	-5.2456034e-10	-0.0003765855	-2.503395e-10	-0.00028339017	0.9998703	-0.12526113	0.015546978	-0.0044080988	25.213617	0.3262081	8.0	0.94041914	0.016454116	85000	8493.795677900314
17	-4.8279066	2.259278	-0.6	-10.0	0.10465116	0.30610344	1.0	0.0	57.744186	392.0	0.004355555555555555	-2.0579004	1.6794556	2.7641547	-6.4540963	0.022532055	0.044225343	0.23075831	-0.0883117	-1.0318858e-09	-0.000862322	-6.9141387e-10	-0.0012163816	0.8472836	-0.13206875	0.043737084	-0.008202761	25.539825	0.8546982	22.0	0.90872717	0.013464237	90000	8915.813594341278
18	-4.058586	1.9049118	-0.3	-10.0	0.08080808	0.27254012	1.0	0.0	50.474747	400.0	0.004210526315789474	-2.017832	1.6720157	2.146885	-6.8193703	0.07195539	0.10476106	0.5952097	-0.21497546	1.1651536e-09	-0.00035293883	1.8596649e-09	-0.0012591191	1.051508	-0.49509943	0.034825932	-0.009741263	26.394524	0.8432293	5.0	0.92897755	0.020921225	95000	9326.016229391098
19	-5.0365853	1.9381607	-0.9	-10.0	0.024390243	0.15425743	1.0	0.0	60.963413	402.0	0.00402	-1.6556748	1.405405	1.8200533	-5.253597	0.029670255	0.060697738	0.3271515	-0.19923013	2.4189333e-09	-0.0005815967	1.5974044e-09	-0.00044332116	0.6797386	-0.1679393	0.010810466	-0.0023749927	27.237753	0.30768585	41.0	0.91088164	0.012943086	100000	9733.950784921646
20	-5.19125	2.107261	-0.3	-10.0	0.05	0.21794495	1.0	0.0	62.225	406.0	0.0038666666666666667	-2.0959094	1.5287493	2.0029016	-6.001234	0.013568042	0.038872812	0.24880598	-0.123124786	-1.3863585e-09	-0.0008336273	-1.3709068e-09	-0.0012386169	0.7042532	-0.067445636	0.018112473	-0.0019232631	27.545439	0.41362572	40.0	0.91068494	0.012344618	105000	10128.674464464188
21	-4.8963857	2.063711	-0.7	-8.9	0.036144577	0.18664981	1.0	0.0	59.566265	409.0	0.0037181818181818184	-1.9783468	1.5555843	2.3092663	-5.419384	0.03253587	0.046341546	0.30263695	-0.09126909	1.4915196e-09	-0.00042263168	1.3709068e-09	-0.0005491721	0.67966413	-0.111907184	0.010040429	-0.0013350295	27.959064	0.35963058	10.0	0.92570263	0.012821908	110000	10502.040517091751
22	-4.626437	2.2748227	-0.3	-10.0	0.011494253	0.10659333	1.0	0.0	56.632183	410.0	0.0035652173913043477	-1.984575	1.6128138	1.8652333	-5.972292	0.0092626605	0.036965687	0.28803954	-0.091136746	-3.8241915e-10	-0.00015422741	-2.4437904e-10	3.6962472e-05	0.6531716	-0.09807491	0.0025648207	-0.00075404707	28.318695	0.088739395	7.0	0.8731914	0.011051913	115000	10872.472118377686
23	-4.4733334	1.7979496	-0.9	-10.0	0.022222223	0.14740555	1.0	0.0	55.366665	412.0	0.0034333333333333334	-2.0202177	1.6367449	2.0969882	-6.433174	0.002381934	0.021218546	0.15814531	-0.10514007	-2.435531e-10	-0.00014497915	-2.3841857e-11	-3.26988e-05	0.5481844	-0.1743409	0.0059928442	-0.0005842042	28.407434	0.13093185	6.0	0.89448303	0.019181155	120000	11245.26374053955
24	-4.167708	1.9115599	-0.4	-10.0	0.041666668	0.1998263	1.0	0.0	51.875	416.0	0.003328	-1.7401785	1.4110963	2.054162	-5.2511535	0.013451608	0.03381873	0.2547382	-0.059188027	2.2519353e-10	-0.0004174963	3.0994415e-10	-0.0011169416	0.8235721	-0.108184814	0.017402409	-0.0044838144	28.538366	0.3721676	8.0	0.9154916	0.013912705	125000	11617.374409914017
25	-4.7917647	1.8366985	-1.0	-10.0	0.03529412	0.18452221	1.0	0.0	58.52941	419.0	0.003223076923076923	-1.8245229	1.4072124	1.5048101	-5.541267	0.027425561	0.09731085	0.6891623	-0.14150058	1.2104652e-09	-0.0011713086	1.2457371e-09	-0.0012642391	0.51389354	-0.101141006	0.02341673	-0.011368673	28.910534	0.37454796	34.0	0.8791948	0.012567921	130000	11989.6208486557
26	-4.3184786	1.7442409	-0.9	-10.0	0.032608695	0.17761017	1.0	0.0	53.826088	422.0	0.003125925925925926	-1.685775	1.5163872	1.8153468	-5.380016	0.0266544	0.08334433	0.8108972	-0.06712566	-6.181568e-10	-0.0010495468	-5.960465e-11	-0.0015552684	0.4881048	-0.06877917	0.017522898	-0.0069313413	29.285082	0.33622932	9.0	0.86372733	0.014742493	135000	12361.38636469841
27	-4.706897	2.1838906	-0.4	-10.0	0.011494253	0.106593326	1.0	0.0	57.436783	423.0	0.0030214285714285716	-1.8459969	1.477366	2.051232	-5.2133527	0.008457228	0.028994028	0.23777829	-0.050895423	1.6194503e-10	-0.0007107076	4.4107437e-10	-0.00075378385	0.70284045	-0.13190603	0.0043968675	-0.0008620976	29.621311	0.091991425	74.0	0.8061919	0.01226335	140000	12733.486142396927
