Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.4292453	0.49496844	1.0	0.0	0.5707547	0.49496844	1.0	0.0	14.146698	1210.0	0.04033333333333333	-0.33677414	0.2973364	0.48276657	-0.861811	0.254691	0.21399586	1.095109	-0.2893292	-4.170736e-08	-0.0017544086	2.4668376e-08	-0.0025326128	1.0075662	-0.8265322	0.2893754	-0.105242714	0.99999994	0.031645715	3.0	1.0561929	0.016968368	30000	2384.756341934204
1	0.45694715	0.49814302	1.0	0.0	0.54305285	0.49814302	1.0	0.0	14.67319	2320.0	0.03866666666666667	0.48258063	0.13581038	0.8520982	0.027277503	0.44691464	0.16061693	1.0016472	0.096651636	1.2920849e-08	-0.002494369	1.7801921e-09	-0.001003821	0.24286175	-0.014532059	0.18483984	-0.009733796	1.0316457	0.030915022	10.0	1.0085907	0.013340601	60000	4773.81848859787
2	0.4552239	0.4979911	1.0	0.0	0.54477614	0.49799103	1.0	0.0	14.922388	3415.0	0.03794444444444445	0.55271715	0.17527847	1.0040387	0.018152377	0.44106516	0.16019008	1.0077678	-0.047931794	6.4272525e-09	-0.003155892	8.646647e-09	-0.00095464836	0.27518454	-0.010365695	0.16637313	-0.00871177	1.0625607	0.013970971	79.0	0.9396727	0.0107270675	90000	7174.3451380729675
3	0.4673748	0.49893442	1.0	0.0	0.5326252	0.49893442	1.0	0.0	15.16692	4468.0	0.037233333333333334	0.6007182	0.23911148	1.2007878	-0.08932015	0.4441767	0.19114177	1.1267283	-0.14563718	-3.4654095e-09	-0.0014418497	-7.629395e-09	-0.00096445566	0.3381673	-0.010580003	0.15538737	-0.008924723	1.0765316	0.031488776	8.0	0.87187636	0.01484474	120000	9566.140146017075
4	0.47343993	0.49929407	1.0	0.0	0.52656007	0.49929407	1.0	0.0	15.468283	5489.0	0.03659333333333333	0.6567223	0.2605743	1.4605047	-0.06093731	0.44442943	0.19567218	1.2068278	-0.17260374	-4.509514e-09	-0.0016206143	3.8146974e-09	-0.00034541523	0.39414093	-0.014762849	0.13673314	-0.008672103	1.1080204	0.021931887	79.0	0.7608478	0.007276242	150000	11966.83822607994
5	0.5097317	0.49990532	1.0	0.0	0.4902683	0.49990532	1.0	0.0	15.77959	6421.0	0.03567222222222222	0.70933616	0.29821768	1.7239013	-0.13549717	0.4387518	0.21632957	1.1694772	-0.24994963	-4.7759405e-09	-0.0014007561	0.0	-0.0002713721	0.4386153	-0.024808645	0.12234997	-0.0040430874	1.1299523	0.022451282	79.0	0.67478764	0.0059729083	180000	14368.219760656357
6	0.48976377	0.49989527	1.0	0.0	0.5102362	0.49989522	1.0	0.0	15.744357	7393.0	0.035204761904761905	0.7873887	0.3410532	2.0911229	-0.19353768	0.43801552	0.22403972	1.2422413	-0.21033038	4.3097477e-09	-0.0014435229	-2.5431315e-09	-0.0005339345	0.4941323	-0.026566178	0.11930394	-0.003603883	1.1524036	0.02387631	79.0	0.5970185	0.004084418	210000	16770.939453125
7	0.49760255	0.49999422	1.0	0.0	0.5023974	0.49999428	1.0	0.0	15.979222	8336.0	0.03473333333333333	0.8330224	0.38674307	2.7373235	-0.23788261	0.4148643	0.22667226	1.2626274	-0.25629914	-2.1723403e-09	-0.0007398573	2.0345052e-09	-0.00019712678	0.5636349	-0.031264782	0.11183942	-0.007941827	1.1762799	0.02739501	79.0	0.5340854	0.002498829	240000	19167.990203619003
8	0.47968337	0.499587	1.0	0.0	0.5203166	0.499587	1.0	0.0	15.827969	9322.0	0.034525925925925925	0.8666241	0.4458059	2.6773481	-0.21057059	0.4760235	0.23855147	1.357447	-0.19184384	6.5320855e-09	-0.000724371	1.2715658e-10	-0.00017549974	0.5819013	-0.02872616	0.10800903	-0.0043259263	1.2036749	0.027079105	79.0	0.49662787	0.0027657852	270000	21571.06647849083
9	0.5029396	0.4999914	1.0	0.0	0.4970604	0.4999914	1.0	0.0	16.032068	10252.0	0.03417333333333333	0.8343344	0.49888682	2.9965441	-0.27069435	0.4991174	0.24025132	1.3147765	-0.18047923	3.0868637e-09	-0.00057166687	-1.0172526e-09	-0.0002516683	0.5582386	-0.023432255	0.09846243	-0.0006982386	1.230754	0.030621886	79.0	0.43918887	0.0013319972	300000	23968.32219195366
